date,followers,following,media,avg_likes,avg_comments
2024-09-17,21212,78,85,0.0,0.0
2024-09-16,21212,78,85,0.0,0.0
2024-09-15,21210,78,85,0.0,0.0
2024-09-14,21207,78,85,0.0,0.0
2024-09-13,21207,78,85,0.0,0.0
2024-09-12,21206,78,85,0.0,0.0
2024-09-11,21210,78,85,0.0,0.0
2024-09-10,21212,78,85,0.0,0.0
2024-09-09,21216,78,85,0.0,0.0
2024-09-08,21212,78,85,0.0,0.0
2024-09-07,21216,78,85,0.0,0.0
2024-09-06,21215,78,85,0.0,0.0
2024-09-05,21217,78,85,0.0,0.0
2024-09-04,21221,78,85,0.0,0.0
2024-09-03,21220,78,85,0.0,0.0
2024-09-02,21211,78,85,0.0,0.0
2024-09-01,21210,78,85,0.0,0.0
2024-08-31,21212,78,85,0.0,0.0
2024-08-30,21211,78,85,0.0,0.0
2024-08-29,21208,78,85,0.0,0.0
2024-08-28,21213,78,85,0.0,0.0
2024-08-27,21210,78,85,0.0,0.0
2024-08-26,21210,78,85,0.0,0.0
2024-08-25,21211,78,85,0.0,0.0
2024-08-24,21211,78,85,0.0,0.0
2024-08-23,21212,78,85,0.0,0.0
2024-08-22,21214,78,85,0.0,0.0
2024-08-21,21209,78,85,0.0,0.0
2024-08-20,21205,78,85,0.0,0.0
2024-08-19,21204,78,85,0.0,0.0
2024-08-18,21204,78,85,0.0,0.0
2024-08-17,21201,78,85,0.0,0.0
2024-08-16,21206,78,85,0.0,0.0
2024-08-15,21211,78,85,0.0,0.0
2024-08-14,21213,78,85,0.0,0.0
2024-08-13,21217,78,85,0.0,0.0
2024-08-12,21212,78,85,0.0,0.0
2024-08-11,21205,78,85,0.0,0.0
2024-08-10,21208,78,85,0.0,0.0
2024-08-09,21208,78,85,0.0,0.0
2024-08-08,21210,78,85,0.0,0.0
2024-08-07,21212,78,85,0.0,0.0
2024-08-06,21218,78,85,0.0,0.0
2024-08-05,21225,78,85,0.0,0.0
2024-08-04,21224,78,85,0.0,0.0
2024-08-03,21216,78,85,0.0,0.0
2024-08-02,21218,78,85,0.0,0.0
2024-08-01,21219,78,85,0.0,0.0
2024-07-31,21222,78,85,0.0,0.0
2024-07-30,21222,78,85,0.0,0.0
2024-07-29,21214,78,85,0.0,0.0
2024-07-28,21218,78,85,0.0,0.0
2024-07-27,21220,78,85,0.0,0.0
2024-07-26,21220,78,85,0.0,0.0
2024-07-25,21226,78,85,0.0,0.0
2024-07-24,21227,78,85,0.0,0.0
2024-07-23,21222,78,85,0.0,0.0
2024-07-22,21212,78,85,0.0,0.0
2024-07-21,21220,78,85,0.0,0.0
2024-07-20,21221,78,85,0.0,0.0
2024-07-19,21228,78,85,0.0,0.0
2024-07-18,21231,78,85,0.0,0.0
2024-07-17,21231,78,85,0.0,0.0
