,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
221,Selena Gomez,selenagomez,selenagomez,@selenagomez
222,Lainey Wilson,laineywilsonmusic,laineywilson,@LaineyWilson
223,Metro Boomin,metroboomin,metroboomin,@metroboomin
224,Arcangel,arcangel,arcangel,@Arcangel
225,RM,rkive,,
226,RAYE,raye,raye,@RAYEofficial
227,A Boogie Wit da Hoodie,aboogievsartist,artisthbtl,@ABoogieWitdaHoodie
228,Pentatonix,ptxofficial,pentatonix,@PTXofficial
229,Nengo Flow,nengoflowofficial,nengoflow.official,@nengoflow
230,Carin Leon,carinleonoficial,carinleonoficial,@carinleonoficial
231,Fuerza Regida,fuerzaregida,fuerzaregida,@FUERZAREGIDA
232,Parker McCollum,parkermccollum,parkermccollum,@ParkerMcCollum
233,Tory Lanez,torylanez,torylanez,@torylanez
234,Hotel Ugly,hotelugly,hotel_ugly,@HotelUgly
235,NewJeans,newjeans_official,newjeans_official,@NewJeans_official
236,Brett Young,brettyoungmusic,brettyoungmusic,@BrettYoungMusic
237,Miley Cyrus,mileycyrus,mileycyrus,@MileyCyrus
238,Sabrina Carpenter,sabrinacarpenter,sabrinacarpenter,@sabrinacarpenter
239,TAEYANG,__youngbae__,taeyang,@TAEYANG_OFFICIAL
240,Cody Johnson,codyjohnson,cojonation,@CodyJohnson
241,Mac DeMarco,macsrecordlabel,,@macdemarco
242,Kali Uchis,kaliuchis,kaliuchis,@KALIUCHIS
243,Ice Spice,icespice,icespicee,@IceSpice
244,TWICE,twicetagram,twice_tiktok_official,@TWICE
245,Gabito Ballesteros,gabitoballesteros,gabitoballesteros,@gabitoballesteros_
246,Finesse2Tymes,1finesse2tymes,1finesse2tymes1,@finesse2tymes1
247,ThxSoMch,thxsomch,thxsomch,@thxsomchh
248,Junior H,juniorh,,@JuniorH_Oficial
249,Ozuna,ozuna,ozuna,@Ozuna
250,P!nk,pink,pinkofficial,@PinkVideoVault
251,PinkPantheress,pinkpantheress,pinkpantheress,@Pinkpantheress
252,Peso Pluma,pesopluma,therealpesopluma,@pesopluma_oficial
253,Falling In Reverse,fallinginreverse,fallinginreverse,
254,Yandel,yandel,yandel,@yandel
255,Linkin Park,linkinpark,linkinpark,@LinkinPark
256,Superstar Pride,superstarpride,superstarpride,@SuperstarPrideTV
257,NF,nfrealmusic,nfrealmusic,@NFrealmusic
258,Toosii,toosii,toosii,@Toosii2x
259,Niall Horan,niallhoran,niallhoran,@NiallHoran
260,Lizzy McAlpine,lizzymcalpine,lizzymcalpine,@LizzyMcAlpine
261,Latto,latto,latto777,@Latto777
262,Lil Wayne,liltunechi,lilwayne,@lilwayne
263,Don Toliver,dontoliver,dontolivermusic,@dontolivermusic
264,Eslabon Armado,eslabonarmadooficial,eslabonarmadooficial,@EslabonArmado
265,Jimin,j.m,,
266,Hozier,hozier,hozierofficial,@hozier
267,Yng Lvcas,yng_lvcas,ynglvcas,@Yng_lvcas
268,Chino Pacas,chinito_pacas,chinito_pacass,@ChinoPacas_
269,Eladio Carrion,eladiocarrion,eladiocarrioneldelah,@EladioCarrion
270,Coco Jones,cocojones,cocojones,@cocojones
271,Melanie Martinez,littlebodybigheart,littlebodybigheart,@MelanieMartinez
