,title,song_id,main_artist
215,Voodoo,Voodoo — Future Featuring Kodak Black,Future
216,Honest,Honest — Justin Bieber & Don Toliver,Justin Bieber
217,We Jus Wanna Get High,We Jus Wanna Get High — Future,Future
218,Holy Ghost,Holy Ghost — Future,Future
219,Frozen,Frozen — Lil Baby,Lil Baby
220,Back To The Basics,Back To The Basics — Future,Future
221,The Way Things Going,The Way Things Going — Future,Future
222,That That,That That — PSY Featuring SUGA,PSY
223,In The Stars,In The Stars — Benson Boone,Benson Boone
224,Love Me More,Love Me More — Sam Smith,Sam Smith
225,Moscow Mule,Moscow Mule — Bad Bunny,Bad Bunny
226,Titi Me Pregunto,Titi Me Pregunto — Bad Bunny,Bad Bunny
227,Despues de La Playa,Despues de La Playa — Bad Bunny,Bad Bunny
228,Me Porto Bonito,Me Porto Bonito — Bad Bunny & Chencho Corleone,Bad Bunny
229,Thought You Should Know,Thought You Should Know — Morgan Wallen,Morgan Wallen
230,Party,Party — Bad Bunny & Rauw Alejandro,Bad Bunny
231,The Heart Part 5,The Heart Part 5 — Kendrick Lamar,Kendrick Lamar
232,Un Ratito,Un Ratito — Bad Bunny,Bad Bunny
233,Tarot,Tarot — Bad Bunny & Jhay Cortez,Bad Bunny
234,Dua Lipa,Dua Lipa — Jack Harlow,Jack Harlow
235,Yo No Soy Celoso,Yo No Soy Celoso — Bad Bunny,Bad Bunny
236,Churchill Downs,Churchill Downs — Jack Harlow Featuring Drake,Jack Harlow
237,Ojitos Lindos,Ojitos Lindos — Bad Bunny & Bomba Estereo,Bad Bunny
238,Neverita,Neverita — Bad Bunny,Bad Bunny
239,La Corriente,La Corriente — Bad Bunny & Tony Dize,Bad Bunny
240,Efecto,Efecto — Bad Bunny,Bad Bunny
241,Aguacero,Aguacero — Bad Bunny,Bad Bunny
242,Dos Mil 16,Dos Mil 16 — Bad Bunny,Bad Bunny
243,Otro Atardecer,Otro Atardecer — Bad Bunny & The Marias,Bad Bunny
244,This Love (Taylor's Version),This Love (Taylor's Version) — Taylor Swift,Taylor Swift
245,Andrea,Andrea — Bad Bunny & Buscabulla,Bad Bunny
246,El Apagon,El Apagon — Bad Bunny,Bad Bunny
247,Un Verano Sin Ti,Un Verano Sin Ti — Bad Bunny,Bad Bunny
248,Un Coco,Un Coco — Bad Bunny,Bad Bunny
249,Me Fui de Vacaciones,Me Fui de Vacaciones — Bad Bunny,Bad Bunny
250,Ensename A Bailar,Ensename A Bailar — Bad Bunny,Bad Bunny
251,Agosto,Agosto — Bad Bunny,Bad Bunny
252,Hold My Hand,Hold My Hand — Lady Gaga,Lady Gaga
253,Whiskey On You,Whiskey On You — Nate Smith,Nate Smith
254,I'd Do Anything To Make You Smile,I'd Do Anything To Make You Smile — Jack Harlow,Jack Harlow
255,Young Harleezy,Young Harleezy — Jack Harlow,Jack Harlow
256,Poison,Poison — Jack Harlow Featuring Lil Wayne,Jack Harlow
257,N95,N95 — Kendrick Lamar,Kendrick Lamar
258,Die Hard,"Die Hard — Kendrick Lamar, Blxst & Amanda Reifer",Kendrick Lamar
259,You Proof,You Proof — Morgan Wallen,Morgan Wallen
260,Silent Hill,Silent Hill — Kendrick Lamar & Kodak Black,Kendrick Lamar
261,United In Grief,United In Grief — Kendrick Lamar,Kendrick Lamar
262,Father Time,Father Time — Kendrick Lamar Featuring Sampha,Kendrick Lamar
263,Rich Spirit,Rich Spirit — Kendrick Lamar,Kendrick Lamar
264,We Cry Together,We Cry Together — Kendrick Lamar & Taylour Paige,Kendrick Lamar
265,Worldwide Steppers,Worldwide Steppers — Kendrick Lamar,Kendrick Lamar
266,Count Me Out,Count Me Out — Kendrick Lamar,Kendrick Lamar
267,Purple Hearts,"Purple Hearts — Kendrick Lamar, Summer Walker & Ghostface Killah",Kendrick Lamar
268,Savior,"Savior — Kendrick Lamar, Baby Keem, & Sam Dew",Kendrick Lamar
269,Cooped Up,Cooped Up — Post Malone Featuring Roddy Ricch,Post Malone
270,Rich (Interlude),Rich (Interlude) — Kendrick Lamar,Kendrick Lamar
271,Mr. Morale,Mr. Morale — Kendrick Lamar & Tanna Leone,Kendrick Lamar
272,Crown,Crown — Kendrick Lamar,Kendrick Lamar
273,Auntie Diaries,Auntie Diaries — Kendrick Lamar,Kendrick Lamar
274,Savior (Interlude),Savior (Interlude) — Kendrick Lamar,Kendrick Lamar
275,Mirror,Mirror — Kendrick Lamar,Kendrick Lamar
276,Mother I Sober,Mother I Sober — Kendrick Lamar Featuring Beth Gibbons,Kendrick Lamar
277,Late Night Talking,Late Night Talking — Harry Styles,Harry Styles
278,Music For A Sushi Restaurant,Music For A Sushi Restaurant — Harry Styles,Harry Styles
279,Matilda,Matilda — Harry Styles,Harry Styles
280,Daylight,Daylight — Harry Styles,Harry Styles
281,Little Freak,Little Freak — Harry Styles,Harry Styles
282,Grapejuice,Grapejuice — Harry Styles,Harry Styles
283,Satellite,Satellite — Harry Styles,Harry Styles
284,Cinema,Cinema — Harry Styles,Harry Styles
285,Daydreaming,Daydreaming — Harry Styles,Harry Styles
286,Keep Driving,Keep Driving — Harry Styles,Harry Styles
287,Love Of My Life,Love Of My Life — Harry Styles,Harry Styles
288,Boyfriends,Boyfriends — Harry Styles,Harry Styles
289,Hotel Lobby (Unc And Phew),Hotel Lobby (Unc And Phew) — Quavo & Takeoff,Quavo
290,Like I Love Country Music,Like I Love Country Music — Kane Brown,Kane Brown
291,DFMU,DFMU — Ella Mai,Ella Mai
292,True Love,True Love — Kanye West & XXXTENTACION,Kanye West
293,Sleazy Flow,Sleazy Flow — SleazyWorld Go Featuring Lil Baby,SleazyWorld Go
294,See Wat I'm Sayin,See Wat I'm Sayin — Moneybagg Yo,Moneybagg Yo
295,Die Young,Die Young — Sleepy Hallow Featuring 347aidan,Sleepy Hallow
296,Potion,"Potion — Calvin Harris, Dua Lipa & Young Thug",Calvin Harris
297,She Had Me At Heads Carolina,She Had Me At Heads Carolina — Cole Swindell,Cole Swindell
298,Sunroof,Sunroof — Nicky Youre & dazy,Nicky Youre
299,F.N.F. (Let's Go),F.N.F. (Let's Go) — Hitkidd & Glorilla,Hitkidd
300,Wild Hearts,Wild Hearts — Keith Urban,Keith Urban
301,Last Night Lonely,Last Night Lonely — Jon Pardi,Jon Pardi
302,7500 OBO,7500 OBO — Tim McGraw,Tim McGraw
303,Until I Found You,Until I Found You — Stephen Sanchez,Stephen Sanchez
304,I Like You (A Happier Song),I Like You (A Happier Song) — Post Malone Featuring Doja Cat,Post Malone
305,Distraction,Distraction — Polo G,Polo G
306,I Cannot Be (A Sadder Song),I Cannot Be (A Sadder Song) — Post Malone Featuring Gunna,Post Malone
307,Wrapped Around Your Finger,Wrapped Around Your Finger — Post Malone,Post Malone
308,Lemon Tree,Lemon Tree — Post Malone,Post Malone
309,Reputation,Reputation — Post Malone,Post Malone
310,Wasting Angels,Wasting Angels — Post Malone Featuring The Kid LAROI,Post Malone
311,Insane,Insane — Post Malone,Post Malone
312,Love/Hate Letter To Alcohol,Love/Hate Letter To Alcohol — Post Malone Featuring Fleet Foxes,Post Malone
313,Vegas,Vegas — Doja Cat,Doja Cat
314,Te Felicito,Te Felicito — Shakira & Rauw Alejandro,Shakira
315,When I'm Alone,When I'm Alone — Post Malone,Post Malone
316,Euthanasia,Euthanasia — Post Malone,Post Malone
