,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
93,2024-06-08,94,Outskirts,Sam Hunt,96,66,12,Outskirts — Sam Hunt,Sam Hunt
94,2024-06-08,95,Your Place,Ashley Cooke,-,95,1,Your Place — Ashley Cooke,Ashley Cooke
95,2024-06-08,96,Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain,-,96,1,Attitude — Don Toliver Featuring Charlie Wilson & Cash Cobain,Don Toliver
96,2024-06-08,97,Heat Stick,Shoreline Mafia Presents OhGeesy & Fenix Flexin,98,97,2,Heat Stick — Shoreline Mafia Presents OhGeesy & Fenix Flexin,Shoreline Mafia
97,2024-06-08,98,The Alchemy,Taylor Swift,82,13,6,The Alchemy — Taylor Swift,Taylor Swift
98,2024-06-08,99,On One Tonight,Gunna,71,54,3,On One Tonight — Gunna,Gunna
99,2024-06-08,100,Tu Name,Fuerza Regida,-,66,13,Tu Name — Fuerza Regida,Fuerza Regida
0,2024-06-15,1,I Had Some Help,Post Malone Featuring Morgan Wallen,1,1,4,I Had Some Help — Post Malone Featuring Morgan Wallen,Post Malone
1,2024-06-15,2,Houdini,Eminem,-,2,1,Houdini — Eminem,Eminem
2,2024-06-15,3,Million Dollar Baby,Tommy Richman,3,2,6,Million Dollar Baby — Tommy Richman,Tommy Richman
3,2024-06-15,4,A Bar Song (Tipsy),Shaboozey,4,3,8,A Bar Song (Tipsy) — Shaboozey,Shaboozey
4,2024-06-15,5,Not Like Us,Kendrick Lamar,2,1,5,Not Like Us — Kendrick Lamar,Kendrick Lamar
5,2024-06-15,6,Espresso,Sabrina Carpenter,5,4,8,Espresso — Sabrina Carpenter,Sabrina Carpenter
6,2024-06-15,7,Too Sweet,Hozier,8,1,11,Too Sweet — Hozier,Hozier
7,2024-06-15,8,Lose Control,Teddy Swims,7,1,43,Lose Control — Teddy Swims,Teddy Swims
8,2024-06-15,9,Beautiful Things,Benson Boone,9,2,20,Beautiful Things — Benson Boone,Benson Boone
9,2024-06-15,10,Pink Skies,Zach Bryan,6,6,2,Pink Skies — Zach Bryan,Zach Bryan
10,2024-06-15,11,Birds Of A Feather,Billie Eilish,12,11,3,Birds Of A Feather — Billie Eilish,Billie Eilish
11,2024-06-15,12,Fortnight,Taylor Swift Featuring Post Malone,11,1,7,Fortnight — Taylor Swift Featuring Post Malone,Taylor Swift
12,2024-06-15,13,Lunch,Billie Eilish,10,5,3,Lunch — Billie Eilish,Billie Eilish
13,2024-06-15,14,Like That,"Future, Metro Boomin & Kendrick Lamar",13,1,11,"Like That — Future, Metro Boomin & Kendrick Lamar",Future
14,2024-06-15,15,Wanna Be,GloRilla & Megan Thee Stallion,39,11,9,Wanna Be — GloRilla & Megan Thee Stallion,GloRilla
15,2024-06-15,16,Saturn,SZA,14,6,15,Saturn — SZA,SZA
16,2024-06-15,17,We Can't Be Friends (Wait For Your Love),Ariana Grande,15,1,13,We Can't Be Friends (Wait For Your Love) — Ariana Grande,Ariana Grande
17,2024-06-15,18,BAND4BAND,Central Cee & Lil Baby,22,18,2,BAND4BAND — Central Cee & Lil Baby,Central Cee
18,2024-06-15,19,Cowgirls,Morgan Wallen Featuring ERNEST,20,19,25,Cowgirls — Morgan Wallen Featuring ERNEST,Morgan Wallen
19,2024-06-15,20,Austin,Dasha,25,20,13,Austin — Dasha,Dasha
20,2024-06-15,21,Chihiro,Billie Eilish,16,12,3,Chihiro — Billie Eilish,Billie Eilish
21,2024-06-15,22,Lovin On Me,Jack Harlow,19,1,30,Lovin On Me — Jack Harlow,Jack Harlow
22,2024-06-15,23,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,18,1,41,I Remember Everything — Zach Bryan Featuring Kacey Musgraves,Zach Bryan
23,2024-06-15,24,Miles On It,Marshmello & Kane Brown,21,21,5,Miles On It — Marshmello & Kane Brown,Marshmello
24,2024-06-15,25,Stick Season,Noah Kahan,17,9,36,Stick Season — Noah Kahan,Noah Kahan
25,2024-06-15,26,"Good Luck, Babe!",Chappell Roan,31,26,9,"Good Luck, Babe! — Chappell Roan",Chappell Roan
26,2024-06-15,27,Feather,Sabrina Carpenter,26,21,27,Feather — Sabrina Carpenter,Sabrina Carpenter
27,2024-06-15,28,Yeah Glo!,GloRilla,28,28,17,Yeah Glo! — GloRilla,GloRilla
28,2024-06-15,29,Ain't No Love In Oklahoma,Luke Combs,29,23,3,Ain't No Love In Oklahoma — Luke Combs,Luke Combs
29,2024-06-15,30,Get It Sexyy,Sexyy Red,24,20,12,Get It Sexyy — Sexyy Red,Sexyy Red
30,2024-06-15,31,One Of Wun,Gunna,45,26,4,One Of Wun — Gunna,Gunna
31,2024-06-15,32,Wildflower,Billie Eilish,27,17,3,Wildflower — Billie Eilish,Billie Eilish
32,2024-06-15,33,Euphoria,Kendrick Lamar,23,3,6,Euphoria — Kendrick Lamar,Kendrick Lamar
33,2024-06-15,34,I Can Do It With A Broken Heart,Taylor Swift,30,3,7,I Can Do It With A Broken Heart — Taylor Swift,Taylor Swift
34,2024-06-15,35,End Of Beginning,Djo,37,11,16,End Of Beginning — Djo,Djo
35,2024-06-15,36,I Like The Way You Kiss Me,Artemas,36,12,11,I Like The Way You Kiss Me — Artemas,Artemas
36,2024-06-15,37,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",38,2,11,"Type Shit — Future, Metro Boomin, Travis Scott & Playboi Carti",Future
37,2024-06-15,38,Greedy,Tate McRae,35,3,38,Greedy — Tate McRae,Tate McRae
38,2024-06-15,39,Gata Only,FloyyMenor X Cris Mj,32,27,12,Gata Only — FloyyMenor X Cris Mj,FloyyMenor
39,2024-06-15,40,Slow It Down,Benson Boone,43,40,11,Slow It Down — Benson Boone,Benson Boone
40,2024-06-15,41,Stargazing,Myles Smith,51,41,4,Stargazing — Myles Smith,Myles Smith
41,2024-06-15,42,Agora Hills,Doja Cat,42,7,37,Agora Hills — Doja Cat,Doja Cat
42,2024-06-15,43,Where It Ends,Bailey Zimmerman,33,32,23,Where It Ends — Bailey Zimmerman,Bailey Zimmerman
43,2024-06-15,44,Bulletproof,Nate Smith,40,40,9,Bulletproof — Nate Smith,Nate Smith
44,2024-06-15,45,Whatever She Wants,Bryson Tiller,46,19,16,Whatever She Wants — Bryson Tiller,Bryson Tiller
45,2024-06-15,46,Down Bad,Taylor Swift,41,2,7,Down Bad — Taylor Swift,Taylor Swift
46,2024-06-15,47,L'amour De Ma Vie,Billie Eilish,34,22,3,L'amour De Ma Vie — Billie Eilish,Billie Eilish
47,2024-06-15,48,Halfway To Hell,Jelly Roll,57,48,9,Halfway To Hell — Jelly Roll,Jelly Roll
48,2024-06-15,49,U My Everything,Sexyy Red & Drake,44,44,2,U My Everything — Sexyy Red & Drake,Sexyy Red
49,2024-06-15,50,Sweet Dreams,Koe Wetzel,52,47,3,Sweet Dreams — Koe Wetzel,Koe Wetzel
51,2024-06-15,52,Blue,Billie Eilish,47,25,3,Blue — Billie Eilish,Billie Eilish
52,2024-06-15,53,Si No Quieres No,Luis R Conriquez x Neton Vega,63,53,5,Si No Quieres No — Luis R Conriquez x Neton Vega,Luis R Conriquez
53,2024-06-15,54,Made For Me,Muni Long,55,20,21,Made For Me — Muni Long,Muni Long
54,2024-06-15,55,Dirt Cheap,Cody Johnson,61,55,7,Dirt Cheap — Cody Johnson,Cody Johnson
55,2024-06-15,56,FE!N,Travis Scott Featuring Playboi Carti,60,5,31,FE!N — Travis Scott Featuring Playboi Carti,Travis Scott
56,2024-06-15,57,Wild Ones,Jessie Murph & Jelly Roll,54,35,35,Wild Ones — Jessie Murph & Jelly Roll,Jessie Murph
