,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
50,2025-05-31,51,Interlude,Morgan Wallen,-,51,1,Interlude — Morgan Wallen,Morgan Wallen
51,2025-05-31,52,Number 3 And Number 7,Morgan Wallen Featuring Eric Church,-,52,1,Number 3 And Number 7 — Morgan Wallen Featuring Eric Church,Morgan Wallen
52,2025-05-31,53,Abracadabra,Lady Gaga,36,13,16,Abracadabra — Lady Gaga,Lady Gaga
53,2025-05-31,54,Revelation,Morgan Wallen,-,54,1,Revelation — Morgan Wallen,Morgan Wallen
54,2025-05-31,55,Squabble Up,Kendrick Lamar,38,1,26,Squabble Up — Kendrick Lamar,Kendrick Lamar
55,2025-05-31,56,Am I Okay?,Megan Moroney,39,39,37,Am I Okay? — Megan Moroney,Megan Moroney
56,2025-05-31,57,Mystical Magical,Benson Boone,42,40,4,Mystical Magical — Benson Boone,Benson Boone
57,2025-05-31,58,Wildflower,Billie Eilish,44,17,49,Wildflower — Billie Eilish,Billie Eilish
58,2025-05-31,59,Love Me Not,Ravyn Lenae,43,41,8,Love Me Not — Ravyn Lenae,Ravyn Lenae
59,2025-05-31,60,Jack And Jill,Morgan Wallen,-,60,1,Jack And Jill — Morgan Wallen,Morgan Wallen
60,2025-05-31,61,Cry For Me,The Weeknd,46,12,16,Cry For Me — The Weeknd,The Weeknd
61,2025-05-31,62,Back To Friends,sombr,45,45,8,Back To Friends — sombr,sombr
62,2025-05-31,63,Come Back As A Redneck,Morgan Wallen Featuring HARDY,-,63,1,Come Back As A Redneck — Morgan Wallen Featuring HARDY,Morgan Wallen
63,2025-05-31,64,Good News,Shaboozey,48,34,26,Good News — Shaboozey,Shaboozey
64,2025-05-31,65,Miami,Morgan Wallen,-,65,1,Miami — Morgan Wallen,Morgan Wallen
65,2025-05-31,66,DTMF,Bad Bunny,51,2,20,DTMF — Bad Bunny,Bad Bunny
66,2025-05-31,67,Dark Thoughts,Lil Tecca,49,28,10,Dark Thoughts — Lil Tecca,Lil Tecca
67,2025-05-31,68,Backup Plan,Bailey Zimmerman & Luke Combs,50,36,3,Backup Plan — Bailey Zimmerman & Luke Combs,Bailey Zimmerman
68,2025-05-31,69,The Dealer,Morgan Wallen Featuring ERNEST,-,69,1,The Dealer — Morgan Wallen Featuring ERNEST,Morgan Wallen
69,2025-05-31,70,Leavin's The Least I Could Do,Morgan Wallen,-,70,1,Leavin's The Least I Could Do — Morgan Wallen,Morgan Wallen
70,2025-05-31,71,Party 4 U,Charli xcx,60,55,5,Party 4 U — Charli xcx,Charli xcx
71,2025-05-31,72,Drinking Til It Does,Morgan Wallen,-,72,1,Drinking Til It Does — Morgan Wallen,Morgan Wallen
72,2025-05-31,73,Nothin' Left,Morgan Wallen,-,73,1,Nothin' Left — Morgan Wallen,Morgan Wallen
73,2025-05-31,74,Azizam,Ed Sheeran,54,28,7,Azizam — Ed Sheeran,Ed Sheeran
74,2025-05-31,75,Happen To Me,Russell Dickerson,55,55,5,Happen To Me — Russell Dickerson,Russell Dickerson
75,2025-05-31,76,Your Way's Better,Forrest Frank,63,61,5,Your Way's Better — Forrest Frank,Forrest Frank
76,2025-05-31,77,Somebody Loves Me,PARTYNEXTDOOR & Drake,59,30,14,Somebody Loves Me — PARTYNEXTDOOR & Drake,PARTYNEXTDOOR
77,2025-05-31,78,Indigo,Sam Barber Featuring Avery Anna,53,40,24,Indigo — Sam Barber Featuring Avery Anna,Sam Barber
78,2025-05-31,79,LA Night,Morgan Wallen,-,79,1,LA Night — Morgan Wallen,Morgan Wallen
80,2025-05-31,81,After All The Bars Are Closed,Thomas Rhett,62,62,4,After All The Bars Are Closed — Thomas Rhett,Thomas Rhett
81,2025-05-31,82,Amen,Shaboozey & Jelly Roll,64,64,4,Amen — Shaboozey & Jelly Roll,Shaboozey
82,2025-05-31,83,Whiskey In Reverse,Morgan Wallen,-,83,1,Whiskey In Reverse — Morgan Wallen,Morgan Wallen
83,2025-05-31,84,Working Man's Song,Morgan Wallen,-,84,1,Working Man's Song — Morgan Wallen,Morgan Wallen
84,2025-05-31,85,Marlboro Rojo,Fuerza Regida,74,74,2,Marlboro Rojo — Fuerza Regida,Fuerza Regida
85,2025-05-31,86,House Again,Hudson Westbrook,83,72,5,House Again — Hudson Westbrook,Hudson Westbrook
86,2025-05-31,87,Peekaboo,Kendrick Lamar Featuring AzChike,69,13,26,Peekaboo — Kendrick Lamar Featuring AzChike,Kendrick Lamar
87,2025-05-31,88,Crazy Eyes,Morgan Wallen,-,88,1,Crazy Eyes — Morgan Wallen,Morgan Wallen
88,2025-05-31,89,Me Jalo,Fuerza Regida & Grupo Frontera,65,48,14,Me Jalo — Fuerza Regida & Grupo Frontera,Fuerza Regida
89,2025-05-31,90,Don't Say You Love Me,Jin,-,90,1,Don't Say You Love Me — Jin,Jin
90,2025-05-31,91,Shake It To The Max (FLY),"MOLIY, Silent Addy, Skillibeng & Shenseea",-,91,1,"Shake It To The Max (FLY) — MOLIY, Silent Addy, Skillibeng & Shenseea",MOLIY
91,2025-05-31,92,Backseat Driver,Kane Brown,78,67,11,Backseat Driver — Kane Brown,Kane Brown
92,2025-05-31,93,Whiskey Drink,Jason Aldean,84,83,6,Whiskey Drink — Jason Aldean,Jason Aldean
93,2025-05-31,94,Baile Inolvidable,Bad Bunny,73,3,20,Baile Inolvidable — Bad Bunny,Bad Bunny
94,2025-05-31,95,EOO,Bad Bunny,82,24,18,EOO — Bad Bunny,Bad Bunny
95,2025-05-31,96,Twilight Zone,Ariana Grande,79,18,8,Twilight Zone — Ariana Grande,Ariana Grande
96,2025-05-31,97,Revolving Door,Tate McRae,71,22,13,Revolving Door — Tate McRae,Tate McRae
97,2025-05-31,98,Rather Lie,Playboi Carti & The Weeknd,76,4,10,Rather Lie — Playboi Carti & The Weeknd,Playboi Carti
98,2025-05-31,99,Whim Whamiee,PLUTO & YKNIECE,89,81,5,Whim Whamiee — PLUTO & YKNIECE,PLUTO
99,2025-05-31,100,Por Esos Ojos,Fuerza Regida,80,64,9,Por Esos Ojos — Fuerza Regida,Fuerza Regida
0,2025-06-07,1,Ordinary,Alex Warren,4,1,16,Ordinary — Alex Warren,Alex Warren
1,2025-06-07,2,What I Want,Morgan Wallen Featuring Tate McRae,1,1,2,What I Want — Morgan Wallen Featuring Tate McRae,Morgan Wallen
2,2025-06-07,3,Just In Case,Morgan Wallen,2,2,10,Just In Case — Morgan Wallen,Morgan Wallen
3,2025-06-07,4,I'm The Problem,Morgan Wallen,3,2,17,I'm The Problem — Morgan Wallen,Morgan Wallen
4,2025-06-07,5,Luther,Kendrick Lamar & SZA,5,1,27,Luther — Kendrick Lamar & SZA,Kendrick Lamar
5,2025-06-07,6,A Bar Song (Tipsy),Shaboozey,9,1,59,A Bar Song (Tipsy) — Shaboozey,Shaboozey
6,2025-06-07,7,Die With A Smile,Lady Gaga & Bruno Mars,6,1,41,Die With A Smile — Lady Gaga & Bruno Mars,Lady Gaga
7,2025-06-07,8,Lose Control,Teddy Swims,11,1,93,Lose Control — Teddy Swims,Teddy Swims
8,2025-06-07,9,Nokia,Drake,12,2,15,Nokia — Drake,Drake
9,2025-06-07,10,Beautiful Things,Benson Boone,14,2,70,Beautiful Things — Benson Boone,Benson Boone
10,2025-06-07,11,Anxiety,Doechii,13,9,12,Anxiety — Doechii,Doechii
11,2025-06-07,12,Pink Pony Club,Chappell Roan,16,4,50,Pink Pony Club — Chappell Roan,Chappell Roan
12,2025-06-07,13,Birds Of A Feather,Billie Eilish,17,2,54,Birds Of A Feather — Billie Eilish,Billie Eilish
13,2025-06-07,14,Love Somebody,Morgan Wallen,10,1,32,Love Somebody — Morgan Wallen,Morgan Wallen
14,2025-06-07,15,I Got Better,Morgan Wallen,7,7,2,I Got Better — Morgan Wallen,Morgan Wallen
15,2025-06-07,16,I Had Some Help,Post Malone Featuring Morgan Wallen,19,1,55,I Had Some Help — Post Malone Featuring Morgan Wallen,Post Malone
17,2025-06-07,18,Mutt,Leon Thomas,18,13,17,Mutt — Leon Thomas,Leon Thomas
18,2025-06-07,19,All The Way,BigXthaPlug Featuring Bailey Zimmerman,23,4,8,All The Way — BigXthaPlug Featuring Bailey Zimmerman,BigXthaPlug
19,2025-06-07,20,Superman,Morgan Wallen,8,8,3,Superman — Morgan Wallen,Morgan Wallen
20,2025-06-07,21,Espresso,Sabrina Carpenter,24,3,59,Espresso — Sabrina Carpenter,Sabrina Carpenter
21,2025-06-07,22,APT.,ROSE & Bruno Mars,28,3,32,APT. — ROSE & Bruno Mars,ROSE
22,2025-06-07,23,20 Cigarettes,Morgan Wallen,20,20,2,20 Cigarettes — Morgan Wallen,Morgan Wallen
23,2025-06-07,24,Blue Strips,Jessie Murph,26,15,7,Blue Strips — Jessie Murph,Jessie Murph
24,2025-06-07,25,Sports Car,Tate McRae,39,16,18,Sports Car — Tate McRae,Tate McRae
25,2025-06-07,26,Worst Way,Riley Green,35,26,20,Worst Way — Riley Green,Riley Green
26,2025-06-07,27,Messy,Lola Young,27,14,26,Messy — Lola Young,Lola Young
27,2025-06-07,28,Timeless,The Weeknd & Playboi Carti,30,3,35,Timeless — The Weeknd & Playboi Carti,The Weeknd
28,2025-06-07,29,Undressed,sombr,49,29,8,Undressed — sombr,sombr
29,2025-06-07,30,Sorry I'm Here For Someone Else,Benson Boone,38,30,13,Sorry I'm Here For Someone Else — Benson Boone,Benson Boone
30,2025-06-07,31,30 For 30,SZA With Kendrick Lamar,33,10,23,30 For 30 — SZA With Kendrick Lamar,SZA
31,2025-06-07,32,Bloodline,Alex Warren With Jelly Roll,-,32,1,Bloodline — Alex Warren With Jelly Roll,Alex Warren
32,2025-06-07,33,That's So True,Gracie Abrams,36,6,32,That's So True — Gracie Abrams,Gracie Abrams
33,2025-06-07,34,Weren't For The Wind,Ella Langley,44,34,17,Weren't For The Wind — Ella Langley,Ella Langley
34,2025-06-07,35,Burning Blue,Mariah the Scientist,37,25,4,Burning Blue — Mariah The Scientist,Mariah the Scientist
35,2025-06-07,36,Back To Friends,sombr,62,36,9,Back To Friends — sombr,sombr
36,2025-06-07,37,Love Me Not,Ravyn Lenae,59,37,9,Love Me Not — Ravyn Lenae,Ravyn Lenae
37,2025-06-07,38,TV Off,Kendrick Lamar Featuring Lefty Gunplay,47,2,27,TV Off — Kendrick Lamar Featuring Lefty Gunplay,Kendrick Lamar
38,2025-06-07,39,No One Noticed,The Marias,43,22,35,No One Noticed — The Marias,The Marias
39,2025-06-07,40,Am I Okay?,Megan Moroney,56,39,38,Am I Okay? — Megan Moroney,Megan Moroney
40,2025-06-07,41,Abracadabra,Lady Gaga,53,13,17,Abracadabra — Lady Gaga,Lady Gaga
41,2025-06-07,42,Mystical Magical,Benson Boone,57,40,5,Mystical Magical — Benson Boone,Benson Boone
42,2025-06-07,43,Squabble Up,Kendrick Lamar,55,1,27,Squabble Up — Kendrick Lamar,Kendrick Lamar
43,2025-06-07,44,Wildflower,Billie Eilish,58,17,50,Wildflower — Billie Eilish,Billie Eilish
44,2025-06-07,45,Eyes Are Closed,Morgan Wallen,22,22,2,Eyes Are Closed — Morgan Wallen,Morgan Wallen
45,2025-06-07,46,Good News,Shaboozey,64,34,27,Good News — Shaboozey,Shaboozey
46,2025-06-07,47,Cry For Me,The Weeknd,61,12,17,Cry For Me — The Weeknd,The Weeknd
47,2025-06-07,48,TN,Morgan Wallen,31,31,2,TN — Morgan Wallen,Morgan Wallen
48,2025-06-07,49,Dark Til Daylight,Morgan Wallen,50,49,2,Dark Til Daylight — Morgan Wallen,Morgan Wallen
49,2025-06-07,50,Kick Myself,Morgan Wallen,21,21,2,Kick Myself — Morgan Wallen,Morgan Wallen
50,2025-06-07,51,I'm A Little Crazy,Morgan Wallen,40,17,10,I'm A Little Crazy — Morgan Wallen,Morgan Wallen
51,2025-06-07,52,Backup Plan,Bailey Zimmerman & Luke Combs,68,36,4,Backup Plan — Bailey Zimmerman & Luke Combs,Bailey Zimmerman
52,2025-06-07,53,Where'd That Girl Go,Morgan Wallen,32,32,2,Where'd That Girl Go — Morgan Wallen,Morgan Wallen
53,2025-06-07,54,"Skoal, Chevy, And Browning",Morgan Wallen,29,29,2,"Skoal, Chevy, And Browning — Morgan Wallen",Morgan Wallen
54,2025-06-07,55,Falling Apart,Morgan Wallen,25,25,2,Falling Apart — Morgan Wallen,Morgan Wallen
55,2025-06-07,56,Dark Thoughts,Lil Tecca,67,28,11,Dark Thoughts — Lil Tecca,Lil Tecca
56,2025-06-07,57,Kiss Her In Front Of You,Morgan Wallen,34,34,2,Kiss Her In Front Of You — Morgan Wallen,Morgan Wallen
57,2025-06-07,58,If You Were Mine,Morgan Wallen,41,41,2,If You Were Mine — Morgan Wallen,Morgan Wallen
58,2025-06-07,59,Happen To Me,Russell Dickerson,75,55,6,Happen To Me — Russell Dickerson,Russell Dickerson
59,2025-06-07,60,Party 4 U,Charli xcx,71,55,6,Party 4 U — Charli xcx,Charli xcx
60,2025-06-07,61,Azizam,Ed Sheeran,74,28,8,Azizam — Ed Sheeran,Ed Sheeran
61,2025-06-07,62,Cliche,Machine Gun Kelly,-,62,1,Cliche — mgk,Machine Gun Kelly
62,2025-06-07,63,Somebody Loves Me,PARTYNEXTDOOR & Drake,77,30,15,Somebody Loves Me — PARTYNEXTDOOR & Drake,PARTYNEXTDOOR
63,2025-06-07,64,After All The Bars Are Closed,Thomas Rhett,81,62,5,After All The Bars Are Closed — Thomas Rhett,Thomas Rhett
65,2025-06-07,66,Indigo,Sam Barber Featuring Avery Anna,78,40,25,Indigo — Sam Barber Featuring Avery Anna,Sam Barber
66,2025-06-07,67,Missing,Morgan Wallen,42,42,2,Missing — Morgan Wallen,Morgan Wallen
67,2025-06-07,68,Don't We,Morgan Wallen,48,48,2,Don't We — Morgan Wallen,Morgan Wallen
68,2025-06-07,69,Your Way's Better,Forrest Frank,76,61,6,Your Way's Better — Forrest Frank,Forrest Frank
69,2025-06-07,70,Peekaboo,Kendrick Lamar Featuring AzChike,87,13,27,Peekaboo — Kendrick Lamar Featuring AzChike,Kendrick Lamar
70,2025-06-07,71,Genesis,Morgan Wallen,46,46,2,Genesis — Morgan Wallen,Morgan Wallen
71,2025-06-07,72,Jack And Jill,Morgan Wallen,60,60,2,Jack And Jill — Morgan Wallen,Morgan Wallen
72,2025-06-07,73,Marlboro Rojo,Fuerza Regida,85,73,3,Marlboro Rojo — Fuerza Regida,Fuerza Regida
73,2025-06-07,74,Latina Foreva,Karol G,-,74,1,Latina Foreva — Karol G,Karol G
74,2025-06-07,75,Whim Whamiee,PLUTO & YKNIECE,99,75,6,Whim Whamiee — PLUTO & YKNIECE,PLUTO
76,2025-06-07,77,Whiskey Drink,Jason Aldean,93,77,7,Whiskey Drink — Jason Aldean,Jason Aldean
77,2025-06-07,78,Miami,Morgan Wallen,65,65,2,Miami — Morgan Wallen,Morgan Wallen
78,2025-06-07,79,Me Jalo,Fuerza Regida & Grupo Frontera,89,48,15,Me Jalo — Fuerza Regida & Grupo Frontera,Fuerza Regida
79,2025-06-07,80,Revelation,Morgan Wallen,54,54,2,Revelation — Morgan Wallen,Morgan Wallen
80,2025-06-07,81,Amen,Shaboozey & Jelly Roll,82,64,5,Amen — Shaboozey & Jelly Roll,Shaboozey
81,2025-06-07,82,House Again,Hudson Westbrook,86,72,6,House Again — Hudson Westbrook,Hudson Westbrook
82,2025-06-07,83,Backseat Driver,Kane Brown,92,67,12,Backseat Driver — Kane Brown,Kane Brown
83,2025-06-07,84,Interlude,Morgan Wallen,51,51,2,Interlude — Morgan Wallen,Morgan Wallen
84,2025-06-07,85,Number 3 And Number 7,Morgan Wallen Featuring Eric Church,52,52,2,Number 3 And Number 7 — Morgan Wallen Featuring Eric Church,Morgan Wallen
85,2025-06-07,86,EOO,Bad Bunny,95,24,19,EOO — Bad Bunny,Bad Bunny
86,2025-06-07,87,Twilight Zone,Ariana Grande,96,18,9,Twilight Zone — Ariana Grande,Ariana Grande
87,2025-06-07,88,Somewhere Over Laredo,Lainey Wilson,-,88,1,Somewhere Over Laredo — Lainey Wilson,Lainey Wilson
88,2025-06-07,89,Leavin's The Least I Could Do,Morgan Wallen,70,70,2,Leavin's The Least I Could Do — Morgan Wallen,Morgan Wallen
89,2025-06-07,90,Come Back As A Redneck,Morgan Wallen Featuring HARDY,63,63,2,Come Back As A Redneck — Morgan Wallen Featuring HARDY,Morgan Wallen
90,2025-06-07,91,Rather Lie,Playboi Carti & The Weeknd,98,4,11,Rather Lie — Playboi Carti & The Weeknd,Playboi Carti
91,2025-06-07,92,Fix What You Didn't Break,Nate Smith,-,64,9,Fix What You Didn't Break — Nate Smith,Nate Smith
92,2025-06-07,93,The Dealer,Morgan Wallen Featuring ERNEST,69,69,2,The Dealer — Morgan Wallen Featuring ERNEST,Morgan Wallen
93,2025-06-07,94,Drinking Til It Does,Morgan Wallen,72,72,2,Drinking Til It Does — Morgan Wallen,Morgan Wallen
94,2025-06-07,95,Por Esos Ojos,Fuerza Regida,100,64,10,Por Esos Ojos — Fuerza Regida,Fuerza Regida
95,2025-06-07,96,The Largest,BigXthaPlug,-,71,18,The Largest — BigXthaPlug,BigXthaPlug
96,2025-06-07,97,Busy Woman,Sabrina Carpenter,-,27,14,Busy Woman — Sabrina Carpenter,Sabrina Carpenter
97,2025-06-07,98,Revolving Door,Tate McRae,97,22,14,Revolving Door — Tate McRae,Tate McRae
98,2025-06-07,99,LA Night,Morgan Wallen,79,79,2,LA Night — Morgan Wallen,Morgan Wallen
99,2025-06-07,100,Feel It,d4vd,-,75,11,Feel It — d4vd,d4vd
0,2025-06-14,1,Ordinary,Alex Warren,1,1,17,Ordinary — Alex Warren,Alex Warren
1,2025-06-14,2,What I Want,Morgan Wallen Featuring Tate McRae,2,1,3,What I Want — Morgan Wallen Featuring Tate McRae,Morgan Wallen
2,2025-06-14,3,Just In Case,Morgan Wallen,3,2,11,Just In Case — Morgan Wallen,Morgan Wallen
3,2025-06-14,4,Luther,Kendrick Lamar & SZA,5,1,28,Luther — Kendrick Lamar & SZA,Kendrick Lamar
4,2025-06-14,5,I'm The Problem,Morgan Wallen,4,2,18,I'm The Problem — Morgan Wallen,Morgan Wallen
5,2025-06-14,6,A Bar Song (Tipsy),Shaboozey,6,1,60,A Bar Song (Tipsy) — Shaboozey,Shaboozey
6,2025-06-14,7,Die With A Smile,Lady Gaga & Bruno Mars,7,1,42,Die With A Smile — Lady Gaga & Bruno Mars,Lady Gaga
7,2025-06-14,8,Lose Control,Teddy Swims,8,1,94,Lose Control — Teddy Swims,Teddy Swims
8,2025-06-14,9,Beautiful Things,Benson Boone,10,2,71,Beautiful Things — Benson Boone,Benson Boone
9,2025-06-14,10,Nokia,Drake,9,2,16,Nokia — Drake,Drake
10,2025-06-14,11,Anxiety,Doechii,11,9,13,Anxiety — Doechii,Doechii
11,2025-06-14,12,Pink Pony Club,Chappell Roan,12,4,51,Pink Pony Club — Chappell Roan,Chappell Roan
12,2025-06-14,13,Birds Of A Feather,Billie Eilish,13,2,55,Birds Of A Feather — Billie Eilish,Billie Eilish
13,2025-06-14,14,Mutt,Leon Thomas,18,13,18,Mutt — Leon Thomas,Leon Thomas
14,2025-06-14,15,I Had Some Help,Post Malone Featuring Morgan Wallen,16,1,56,I Had Some Help — Post Malone Featuring Morgan Wallen,Post Malone
15,2025-06-14,16,Blue Strips,Jessie Murph,24,15,8,Blue Strips — Jessie Murph,Jessie Murph
16,2025-06-14,17,I Got Better,Morgan Wallen,15,7,3,I Got Better — Morgan Wallen,Morgan Wallen
17,2025-06-14,18,All The Way,BigXthaPlug Featuring Bailey Zimmerman,19,4,9,All The Way — BigXthaPlug Featuring Bailey Zimmerman,BigXthaPlug
18,2025-06-14,19,Love Somebody,Morgan Wallen,14,1,33,Love Somebody — Morgan Wallen,Morgan Wallen
19,2025-06-14,20,Espresso,Sabrina Carpenter,21,3,60,Espresso — Sabrina Carpenter,Sabrina Carpenter
21,2025-06-14,22,Sports Car,Tate McRae,25,16,19,Sports Car — Tate McRae,Tate McRae
22,2025-06-14,23,Worst Way,Riley Green,26,23,21,Worst Way — Riley Green,Riley Green
23,2025-06-14,24,APT.,ROSE & Bruno Mars,22,3,33,APT. — ROSE & Bruno Mars,ROSE
24,2025-06-14,25,Undressed,sombr,29,25,9,Undressed — sombr,sombr
25,2025-06-14,26,Superman,Morgan Wallen,20,8,4,Superman — Morgan Wallen,Morgan Wallen
26,2025-06-14,27,20 Cigarettes,Morgan Wallen,23,20,3,20 Cigarettes — Morgan Wallen,Morgan Wallen
27,2025-06-14,28,30 For 30,SZA With Kendrick Lamar,31,10,24,30 For 30 — SZA With Kendrick Lamar,SZA
28,2025-06-14,29,Messy,Lola Young,27,14,27,Messy — Lola Young,Lola Young
29,2025-06-14,30,Weren't For The Wind,Ella Langley,34,30,18,Weren't For The Wind — Ella Langley,Ella Langley
30,2025-06-14,31,Timeless,The Weeknd & Playboi Carti,28,3,36,Timeless — The Weeknd & Playboi Carti,The Weeknd
31,2025-06-14,32,Sorry I'm Here For Someone Else,Benson Boone,30,30,14,Sorry I'm Here For Someone Else — Benson Boone,Benson Boone
32,2025-06-14,33,Just Keep Watching,Tate McRae,-,33,1,Just Keep Watching — Tate McRae,Tate McRae
33,2025-06-14,34,Am I Okay?,Megan Moroney,40,34,39,Am I Okay? — Megan Moroney,Megan Moroney
34,2025-06-14,35,Mystical Magical,Benson Boone,42,35,6,Mystical Magical — Benson Boone,Benson Boone
35,2025-06-14,36,Love Me Not,Ravyn Lenae,37,36,10,Love Me Not — Ravyn Lenae,Ravyn Lenae
36,2025-06-14,37,That's So True,Gracie Abrams,33,6,33,That's So True — Gracie Abrams,Gracie Abrams
37,2025-06-14,38,Back To Friends,sombr,36,36,10,Back To Friends — sombr,sombr
38,2025-06-14,39,No One Noticed,The Marias,39,22,36,No One Noticed — The Marias,The Marias
39,2025-06-14,40,TV Off,Kendrick Lamar Featuring Lefty Gunplay,38,2,28,TV Off — Kendrick Lamar Featuring Lefty Gunplay,Kendrick Lamar
40,2025-06-14,41,Burning Blue,Mariah the Scientist,35,25,5,Burning Blue — Mariah The Scientist,Mariah the Scientist
41,2025-06-14,42,Abracadabra,Lady Gaga,41,13,18,Abracadabra — Lady Gaga,Lady Gaga
42,2025-06-14,43,TN,Morgan Wallen,48,31,3,TN — Morgan Wallen,Morgan Wallen
43,2025-06-14,44,Good News,Shaboozey,46,34,28,Good News — Shaboozey,Shaboozey
44,2025-06-14,45,Bloodline,Alex Warren With Jelly Roll,32,32,2,Bloodline — Alex Warren With Jelly Roll,Alex Warren
45,2025-06-14,46,Cry For Me,The Weeknd,47,12,18,Cry For Me — The Weeknd,The Weeknd
46,2025-06-14,47,Squabble Up,Kendrick Lamar,43,1,28,Squabble Up — Kendrick Lamar,Kendrick Lamar
47,2025-06-14,48,Wildflower,Billie Eilish,44,17,51,Wildflower — Billie Eilish,Billie Eilish
48,2025-06-14,49,Dark Til Daylight,Morgan Wallen,49,49,3,Dark Til Daylight — Morgan Wallen,Morgan Wallen
49,2025-06-14,50,OWA OWA,Lil Tecca,-,50,1,OWA OWA — Lil Tecca,Lil Tecca
50,2025-06-14,51,Whim Whamiee,PLUTO & YKNIECE,75,51,7,Whim Whamiee — PLUTO & YKNIECE,PLUTO
51,2025-06-14,52,Backup Plan,Bailey Zimmerman & Luke Combs,52,36,5,Backup Plan — Bailey Zimmerman & Luke Combs,Bailey Zimmerman
52,2025-06-14,53,Dark Thoughts,Lil Tecca,56,28,12,Dark Thoughts — Lil Tecca,Lil Tecca
53,2025-06-14,54,Happen To Me,Russell Dickerson,59,54,7,Happen To Me — Russell Dickerson,Russell Dickerson
54,2025-06-14,55,Eyes Are Closed,Morgan Wallen,45,22,3,Eyes Are Closed — Morgan Wallen,Morgan Wallen
56,2025-06-14,57,I'm A Little Crazy,Morgan Wallen,51,17,11,I'm A Little Crazy — Morgan Wallen,Morgan Wallen
57,2025-06-14,58,Kick Myself,Morgan Wallen,50,21,3,Kick Myself — Morgan Wallen,Morgan Wallen
58,2025-06-14,59,Somebody Loves Me,PARTYNEXTDOOR & Drake,63,30,16,Somebody Loves Me — PARTYNEXTDOOR & Drake,PARTYNEXTDOOR
59,2025-06-14,60,After All The Bars Are Closed,Thomas Rhett,64,60,6,After All The Bars Are Closed — Thomas Rhett,Thomas Rhett
60,2025-06-14,61,Azizam,Ed Sheeran,61,28,9,Azizam — Ed Sheeran,Ed Sheeran
61,2025-06-14,62,Party 4 U,Charli xcx,60,55,7,Party 4 U — Charli xcx,Charli xcx
62,2025-06-14,63,Your Way's Better,Forrest Frank,69,61,7,Your Way's Better — Forrest Frank,Forrest Frank
63,2025-06-14,64,Where'd That Girl Go,Morgan Wallen,53,32,3,Where'd That Girl Go — Morgan Wallen,Morgan Wallen
64,2025-06-14,65,Indigo,Sam Barber Featuring Avery Anna,66,40,26,Indigo — Sam Barber Featuring Avery Anna,Sam Barber
65,2025-06-14,66,"Skoal, Chevy, And Browning",Morgan Wallen,54,29,3,"Skoal, Chevy, And Browning — Morgan Wallen",Morgan Wallen
66,2025-06-14,67,Peekaboo,Kendrick Lamar Featuring AzChike,70,13,28,Peekaboo — Kendrick Lamar Featuring AzChike,Kendrick Lamar
67,2025-06-14,68,Falling Apart,Morgan Wallen,55,25,3,Falling Apart — Morgan Wallen,Morgan Wallen
68,2025-06-14,69,If You Were Mine,Morgan Wallen,58,41,3,If You Were Mine — Morgan Wallen,Morgan Wallen
69,2025-06-14,70,Kiss Her In Front Of You,Morgan Wallen,57,34,3,Kiss Her In Front Of You — Morgan Wallen,Morgan Wallen
70,2025-06-14,71,Marlboro Rojo,Fuerza Regida,73,71,4,Marlboro Rojo — Fuerza Regida,Fuerza Regida
72,2025-06-14,73,Backseat Driver,Kane Brown,83,67,13,Backseat Driver — Kane Brown,Kane Brown
73,2025-06-14,74,Missing,Morgan Wallen,67,42,3,Missing — Morgan Wallen,Morgan Wallen
74,2025-06-14,75,Amen,Shaboozey & Jelly Roll,81,64,6,Amen — Shaboozey & Jelly Roll,Shaboozey
75,2025-06-14,76,Me Jalo,Fuerza Regida & Grupo Frontera,79,48,16,Me Jalo — Fuerza Regida & Grupo Frontera,Fuerza Regida
76,2025-06-14,77,Don't We,Morgan Wallen,68,48,3,Don't We — Morgan Wallen,Morgan Wallen
77,2025-06-14,78,Cliche,Machine Gun Kelly,62,62,2,Cliche — mgk,Machine Gun Kelly
78,2025-06-14,79,House Again,Hudson Westbrook,82,72,7,House Again — Hudson Westbrook,Hudson Westbrook
79,2025-06-14,80,Genesis,Morgan Wallen,71,46,3,Genesis — Morgan Wallen,Morgan Wallen
80,2025-06-14,81,Tu Sancho,Fuerza Regida,-,81,1,Tu Sancho — Fuerza Regida,Fuerza Regida
81,2025-06-14,82,Easy Lover,Miley Cyrus,-,82,1,Easy Lover — Miley Cyrus,Miley Cyrus
82,2025-06-14,83,Rather Lie,Playboi Carti & The Weeknd,91,4,12,Rather Lie — Playboi Carti & The Weeknd,Playboi Carti
83,2025-06-14,84,EOO,Bad Bunny,86,24,20,EOO — Bad Bunny,Bad Bunny
84,2025-06-14,85,Jack And Jill,Morgan Wallen,72,60,3,Jack And Jill — Morgan Wallen,Morgan Wallen
85,2025-06-14,86,Miami,Morgan Wallen,78,65,3,Miami — Morgan Wallen,Morgan Wallen
86,2025-06-14,87,Twilight Zone,Ariana Grande,87,18,10,Twilight Zone — Ariana Grande,Ariana Grande
87,2025-06-14,88,Thought It Was Love,Ty Myers,-,79,3,Thought It Was Love — Ty Myers,Ty Myers
88,2025-06-14,89,Whiskey Drink,Jason Aldean,77,77,8,Whiskey Drink — Jason Aldean,Jason Aldean
