,chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
42,2024-11-30,43,Wind Up Missin' You,Tucker Wetmore,40,40,34
43,2024-11-30,44,It's Ok I'm Ok,Tate McRae,55,20,10
44,2024-11-30,45,Who,Jimin,45,12,18
45,2024-11-30,46,You Look Like You Love Me,Ella Langley Featuring Riley Green,35,30,22
46,2024-11-30,47,It's The Most Wonderful Time Of The Year,Andy Williams,-,5,40
47,2024-11-30,48,A Holly Jolly Christmas,Burl Ives,-,4,40
48,2024-11-30,49,I Can Do It With A Broken Heart,Taylor Swift,41,3,31
49,2024-11-30,50,Beautiful As You,Thomas Rhett,53,50,24
50,2024-11-30,51,High Road,Zach Bryan,29,29,2
51,2024-11-30,52,Pink Pony Club,Chappell Roan,44,26,23
52,2024-11-30,53,Running Wild,JIN,-,53,1
53,2024-11-30,54,Help Me,Real Boston Richey,47,47,18
54,2024-11-30,55,Dancing In The Flames,The Weeknd,52,14,10
55,2024-11-30,56,Insecurities,Lil Baby,-,56,1
56,2024-11-30,57,"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",43,15,4
57,2024-11-30,58,I Never Lie,Zach Top,58,58,9
58,2024-11-30,59,Disease,Lady Gaga,56,27,4
59,2024-11-30,60,Khe?,Rauw Alejandro & Romeo Santos,-,60,1
60,2024-11-30,61,Juno,Sabrina Carpenter,64,22,13
61,2024-11-30,62,Liar,Jelly Roll,74,62,8
62,2024-11-30,63,25,Rod Wave,57,16,6
63,2024-11-30,64,Heart Of A Woman,Summer Walker,61,57,4
64,2024-11-30,65,I'm Gonna Love You,Cody Johnson & Carrie Underwood,63,42,8
65,2024-11-30,66,Residuals,Chris Brown,59,59,12
66,2024-11-30,67,Dos Dias,Tito Double P & Peso Pluma,54,51,11
67,2024-11-30,68,AGATS2 (Insecure),Juice WRLD & Nicki Minaj,-,68,1
68,2024-11-30,69,Tu Con El,Rauw Alejandro,-,69,1
69,2024-11-30,70,Rah Tah Tah,"Tyler, The Creator",48,16,4
70,2024-11-30,71,Good News,Shaboozey,-,71,1
71,2024-11-30,72,I Luv Her,GloRilla & T-Pain,79,70,6
72,2024-11-30,73,Close To You,Gracie Abrams,67,49,15
73,2024-11-30,74,The Emptiness Machine,Linkin Park,-,21,7
74,2024-11-30,75,Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold",60,32,4
75,2024-11-30,76,Bad Dreams,Teddy Swims,72,72,3
76,2024-11-30,77,Think I'm In Love With You,Chris Stapleton,70,49,29
77,2024-11-30,78,Shake Dat Ass (Twerk Song),BossMan Dlow,66,54,11
78,2024-11-30,79,Diet Pepsi,Addison Rae,71,54,11
79,2024-11-30,80,4x4xU,Lainey Wilson,97,80,2
80,2024-11-30,81,Guy For That,Post Malone Featuring Luke Combs,73,17,17
81,2024-11-30,82,Se Fue,Rauw Alejandro & Laura Pausini,-,82,1
82,2024-11-30,83,No Pole,Don Toliver,77,77,4
83,2024-11-30,84,Noid,"Tyler, The Creator",65,10,5
84,2024-11-30,85,Him All Along,Gunna,83,58,5
85,2024-11-30,86,Am I Okay?,Megan Moroney,86,63,15
86,2024-11-30,87,Good Graces,Sabrina Carpenter,82,15,13
87,2024-11-30,88,Revolu,Rauw Alejandro & Feid,-,88,1
88,2024-11-30,89,Apple,Charli xcx,80,51,18
89,2024-11-30,90,La Patrulla,Peso Pluma & Neton Vega,76,47,18
90,2024-11-30,91,El Lokeron,Tito Double P,75,73,8
91,2024-11-30,92,28,Zach Bryan,69,14,20
92,2024-11-30,93,New Drop,Don Toliver,81,81,6
93,2024-11-30,94,Lonely Road,mgk & Jelly Roll,87,33,16
94,2024-11-30,95,Wondering Why,The Red Clay Strays,91,71,16
95,2024-11-30,96,Dejame Entrar,Rauw Alejandro,-,96,1
96,2024-11-30,97,Neon Moon,Brooks & Dunn With Morgan Wallen,-,97,1
97,2024-11-30,98,Brokey,Latto,93,93,3
98,2024-11-30,99,Balloon,"Tyler, The Creator Featuring Doechii",89,56,4
99,2024-11-30,100,On One Tonight,Gunna,92,54,6
0,2024-12-07,1,Squabble Up,Kendrick Lamar,-,1,1
1,2024-12-07,2,TV Off,Kendrick Lamar Featuring Lefty Gunplay,-,2,1
2,2024-12-07,3,Luther,Kendrick Lamar & SZA,-,3,1
3,2024-12-07,4,Wacced Out Murals,Kendrick Lamar,-,4,1
4,2024-12-07,5,Hey Now,Kendrick Lamar Featuring Dody6,-,5,1
5,2024-12-07,6,A Bar Song (Tipsy),Shaboozey,1,1,33
6,2024-12-07,7,Die With A Smile,Lady Gaga & Bruno Mars,2,2,15
7,2024-12-07,8,Reincarnated,Kendrick Lamar,-,8,1
8,2024-12-07,9,Man At The Garden,Kendrick Lamar,-,9,1
9,2024-12-07,10,All I Want For Christmas Is You,Mariah Carey,16,1,67
10,2024-12-07,11,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",-,11,1
11,2024-12-07,12,Birds Of A Feather,Billie Eilish,3,2,28
12,2024-12-07,13,Peekaboo,Kendrick Lamar Featuring AzChike,-,13,1
13,2024-12-07,14,Heart Pt. 6,Kendrick Lamar,-,14,1
14,2024-12-07,15,Rockin' Around The Christmas Tree,Brenda Lee,23,1,60
15,2024-12-07,16,Lose Control,Teddy Swims,4,1,68
16,2024-12-07,17,That's So True,Gracie Abrams,6,6,6
17,2024-12-07,18,Last Christmas,Wham!,24,4,41
18,2024-12-07,19,Jingle Bell Rock,Bobby Helms,-,3,57
19,2024-12-07,20,Espresso,Sabrina Carpenter,5,3,33
20,2024-12-07,21,I Had Some Help,Post Malone Featuring Morgan Wallen,7,1,29
21,2024-12-07,22,APT.,ROSE & Bruno Mars,15,8,6
22,2024-12-07,23,Taste,Sabrina Carpenter,8,2,14
23,2024-12-07,24,GNX,"Kendrick Lamar Featuring Hitta J3, YoungThreat & Peysoh",-,24,1
24,2024-12-07,25,Beautiful Things,Benson Boone,9,2,45
25,2024-12-07,26,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",11,10,5
26,2024-12-07,27,Gloria,Kendrick Lamar & SZA,-,27,1
27,2024-12-07,28,Love Somebody,Morgan Wallen,10,1,6
28,2024-12-07,29,Whatchu Kno About Me,GloRilla & Sexyy Red,17,17,7
29,2024-12-07,30,Not Like Us,Kendrick Lamar,19,1,30
30,2024-12-07,31,Too Sweet,Hozier,13,1,36
31,2024-12-07,32,Timeless,The Weeknd & Playboi Carti,14,3,9
32,2024-12-07,33,A Holly Jolly Christmas,Burl Ives,48,4,41
33,2024-12-07,34,"Good Luck, Babe!",Chappell Roan,12,4,34
34,2024-12-07,35,It's The Most Wonderful Time Of The Year,Andy Williams,47,5,41
35,2024-12-07,36,Stargazing,Myles Smith,20,20,29
36,2024-12-07,37,I Am Not Okay,Jelly Roll,21,14,24
37,2024-12-07,38,Please Please Please,Sabrina Carpenter,18,1,25
38,2024-12-07,39,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,-,7,32
39,2024-12-07,40,Sailor Song,Gigi Perez,25,22,15
40,2024-12-07,41,Feliz Navidad,Jose Feliciano,-,6,33
41,2024-12-07,42,Sleigh Ride,The Ronettes,-,8,29
42,2024-12-07,43,Santa Tell Me,Ariana Grande,-,11,25
43,2024-12-07,44,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,-,44,1
44,2024-12-07,45,Lies Lies Lies,Morgan Wallen,27,7,21
45,2024-12-07,46,Underneath The Tree,Kelly Clarkson,-,11,28
46,2024-12-07,47,Wildflower,Billie Eilish,26,17,28
47,2024-12-07,48,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",-,9,45
48,2024-12-07,49,Million Dollar Baby,Tommy Richman,30,2,31
49,2024-12-07,50,Bed Chem,Sabrina Carpenter,28,14,14
50,2024-12-07,51,High Road,Koe Wetzel & Jessie Murph,36,22,25
51,2024-12-07,52,Like Him,"Tyler, The Creator Featuring Lola Young",35,29,5
52,2024-12-07,53,Popular,Ariana Grande,-,53,1
53,2024-12-07,54,You Look Like You Love Me,Ella Langley Featuring Riley Green,46,30,23
54,2024-12-07,55,Tu Boda,Oscar Maydon & Fuerza Regida,31,22,6
55,2024-12-07,56,Who,Jimin,45,12,19
56,2024-12-07,57,Wind Up Missin' You,Tucker Wetmore,43,40,35
57,2024-12-07,58,"I Love You, I'm Sorry",Gracie Abrams,32,19,17
58,2024-12-07,59,No One Noticed,The Marias,22,22,9
59,2024-12-07,60,Que Pasaria...,Rauw Alejandro & Bad Bunny,34,34,2
60,2024-12-07,61,I Never Lie,Zach Top,58,58,10
61,2024-12-07,62,Heart Of A Woman,Summer Walker,64,57,5
62,2024-12-07,63,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",37,7,5
63,2024-12-07,64,It's Ok I'm Ok,Tate McRae,44,20,11
64,2024-12-07,65,I'm Gonna Love You,Cody Johnson & Carrie Underwood,65,42,9
65,2024-12-07,66,Pink Pony Club,Chappell Roan,52,26,24
66,2024-12-07,67,Dancing In The Flames,The Weeknd,55,14,11
67,2024-12-07,68,What Is This Feeling?,Ariana Grande & Cynthia Erivo,-,68,1
68,2024-12-07,69,Liar,Jelly Roll,62,62,9
69,2024-12-07,70,Help Me,Real Boston Richey,54,47,19
70,2024-12-07,71,High Road,Zach Bryan,51,29,3
71,2024-12-07,72,Residuals,Chris Brown,66,59,13
72,2024-12-07,73,Juno,Sabrina Carpenter,61,22,14
73,2024-12-07,74,Think I'm In Love With You,Chris Stapleton,77,49,30
74,2024-12-07,75,Dos Dias,Tito Double P & Peso Pluma,67,51,12
75,2024-12-07,76,Disease,Lady Gaga,59,27,5
76,2024-12-07,77,25,Rod Wave,63,16,7
77,2024-12-07,78,4x4xU,Lainey Wilson,80,78,3
78,2024-12-07,79,Khe?,Rauw Alejandro & Romeo Santos,60,60,2
79,2024-12-07,80,I Luv Her,GloRilla & T-Pain,72,70,7
80,2024-12-07,81,Guy For That,Post Malone Featuring Luke Combs,81,17,18
81,2024-12-07,82,Close To You,Gracie Abrams,73,49,16
82,2024-12-07,83,"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",57,15,5
83,2024-12-07,84,Good News,Shaboozey,71,71,2
84,2024-12-07,85,Hello Miss Johnson,Jack Harlow,-,85,1
85,2024-12-07,86,No One Mourns The Wicked,"Ariana Grande Featuring Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke & Jenna Boyd",-,86,1
86,2024-12-07,87,2 Hands,Tate McRae,41,41,2
87,2024-12-07,88,Bad Dreams,Teddy Swims,76,72,4
88,2024-12-07,89,Diet Pepsi,Addison Rae,79,54,12
89,2024-12-07,90,Dancing Through Life,"Jonathan Bailey Featuring Ariana Grande, Ethan Slater, Marissa Bode & Cynthia Erivo",-,90,1
90,2024-12-07,91,Am I Okay?,Megan Moroney,86,63,16
91,2024-12-07,92,Shake Dat Ass (Twerk Song),BossMan Dlow,78,54,12
92,2024-12-07,93,The Wizard And I,Cynthia Erivo Featuring Michelle Yeoh,-,93,1
93,2024-12-07,94,I'm Not That Girl,Cynthia Erivo,-,94,1
94,2024-12-07,95,Ma Meilleure Ennemie,Stromae & Pomme,-,95,1
95,2024-12-07,96,Insecurities,Lil Baby,56,56,2
96,2024-12-07,97,No Pole,Don Toliver,83,77,5
97,2024-12-07,98,Gang Baby,NLE Choppa,-,98,1
98,2024-12-07,99,Apple,Charli xcx,89,51,19
99,2024-12-07,100,Wondering Why,The Red Clay Strays,95,71,17
0,2024-12-14,1,All I Want For Christmas Is You,Mariah Carey,10,1,68
1,2024-12-14,2,Rockin' Around The Christmas Tree,Brenda Lee,15,1,61
2,2024-12-14,3,Last Christmas,Wham!,18,3,42
3,2024-12-14,4,TV Off,Kendrick Lamar Featuring Lefty Gunplay,2,2,2
4,2024-12-14,5,Jingle Bell Rock,Bobby Helms,19,3,58
5,2024-12-14,6,Luther,Kendrick Lamar & SZA,3,3,2
6,2024-12-14,7,Squabble Up,Kendrick Lamar,1,1,2
7,2024-12-14,8,A Bar Song (Tipsy),Shaboozey,6,1,34
8,2024-12-14,9,Die With A Smile,Lady Gaga & Bruno Mars,7,2,16
9,2024-12-14,10,A Holly Jolly Christmas,Burl Ives,33,4,42
10,2024-12-14,11,It's The Most Wonderful Time Of The Year,Andy Williams,35,5,42
11,2024-12-14,12,Birds Of A Feather,Billie Eilish,12,2,29
12,2024-12-14,13,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,39,7,33
13,2024-12-14,14,Espresso,Sabrina Carpenter,20,3,34
14,2024-12-14,15,Lose Control,Teddy Swims,16,1,69
15,2024-12-14,16,That's So True,Gracie Abrams,17,6,7
16,2024-12-14,17,APT.,ROSE & Bruno Mars,22,8,7
17,2024-12-14,18,I Had Some Help,Post Malone Featuring Morgan Wallen,21,1,30
18,2024-12-14,19,Santa Tell Me,Ariana Grande,43,11,26
19,2024-12-14,20,Underneath The Tree,Kelly Clarkson,46,11,29
20,2024-12-14,21,Taste,Sabrina Carpenter,23,2,15
21,2024-12-14,22,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",48,9,46
22,2024-12-14,23,Sleigh Ride,The Ronettes,42,8,30
23,2024-12-14,24,It's Beginning To Look A Lot Like Christmas,Michael Buble,-,19,21
24,2024-12-14,25,Feliz Navidad,Jose Feliciano,41,6,34
25,2024-12-14,26,Beautiful Things,Benson Boone,25,2,46
26,2024-12-14,27,Timeless,The Weeknd & Playboi Carti,32,3,10
27,2024-12-14,28,Too Sweet,Hozier,31,1,37
28,2024-12-14,29,Wacced Out Murals,Kendrick Lamar,4,4,2
29,2024-12-14,30,Love Somebody,Morgan Wallen,28,1,7
30,2024-12-14,31,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,-,12,24
31,2024-12-14,32,Hey Now,Kendrick Lamar Featuring Dody6,5,5,2
32,2024-12-14,33,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",26,10,6
33,2024-12-14,34,"Good Luck, Babe!",Chappell Roan,34,4,35
34,2024-12-14,35,Not Like Us,Kendrick Lamar,30,1,31
35,2024-12-14,36,Run Rudolph Run,Chuck Berry,-,10,23
36,2024-12-14,37,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,-,16,15
37,2024-12-14,38,Christmas (Baby Please Come Home),Darlene Love,-,15,23
38,2024-12-14,39,Whatchu Kno About Me,GloRilla & Sexyy Red,29,17,8
39,2024-12-14,40,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,-,12,36
40,2024-12-14,41,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",11,11,2
41,2024-12-14,42,Stargazing,Myles Smith,36,20,30
42,2024-12-14,43,Deck The Halls,Nat King Cole,-,16,14
43,2024-12-14,44,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,-,21,21
44,2024-12-14,45,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,44,44,2
45,2024-12-14,46,Reincarnated,Kendrick Lamar,8,8,2
46,2024-12-14,47,Who,Jimin,56,12,20
47,2024-12-14,48,Peekaboo,Kendrick Lamar Featuring AzChike,13,13,2
48,2024-12-14,49,I Am Not Okay,Jelly Roll,37,14,25
49,2024-12-14,50,Please Please Please,Sabrina Carpenter,38,1,26
50,2024-12-14,51,Sailor Song,Gigi Perez,40,22,16
51,2024-12-14,52,Man At The Garden,Kendrick Lamar,9,9,2
52,2024-12-14,53,Popular,Ariana Grande,53,53,2
53,2024-12-14,54,Heart Pt. 6,Kendrick Lamar,14,14,2
54,2024-12-14,55,High Road,Koe Wetzel & Jessie Murph,51,22,26
55,2024-12-14,56,Empty Out Your Pockets,Juice WRLD,-,56,1
56,2024-12-14,57,Bed Chem,Sabrina Carpenter,50,14,15
57,2024-12-14,58,You Look Like You Love Me,Ella Langley Featuring Riley Green,54,30,24
58,2024-12-14,59,Gloria,Kendrick Lamar & SZA,27,27,2
59,2024-12-14,60,Like Him,"Tyler, The Creator Featuring Lola Young",52,29,6
60,2024-12-14,61,No One Noticed,The Marias,59,22,10
61,2024-12-14,62,What Is This Feeling?,Ariana Grande & Cynthia Erivo,68,62,2
62,2024-12-14,63,Tu Boda,Oscar Maydon & Fuerza Regida,55,22,7
63,2024-12-14,64,Wind Up Missin' You,Tucker Wetmore,57,40,36
64,2024-12-14,65,Misfit,Juice WRLD,-,65,1
65,2024-12-14,66,"I Love You, I'm Sorry",Gracie Abrams,58,19,18
66,2024-12-14,67,GNX,"Kendrick Lamar Featuring Hitta J3, YoungThreat & Peysoh",24,24,2
67,2024-12-14,68,Pink Pony Club,Chappell Roan,66,26,25
68,2024-12-14,69,Ma Meilleure Ennemie,Stromae & Pomme,95,69,2
69,2024-12-14,70,It's Ok I'm Ok,Tate McRae,64,20,12
70,2024-12-14,71,I Never Lie,Zach Top,61,58,11
71,2024-12-14,72,Dancing In The Flames,The Weeknd,67,14,12
72,2024-12-14,73,Que Pasaria...,Rauw Alejandro & Bad Bunny,60,34,3
73,2024-12-14,74,Help Me,Real Boston Richey,70,47,20
74,2024-12-14,75,I'm Gonna Love You,Cody Johnson & Carrie Underwood,65,42,10
75,2024-12-14,76,Heart Of A Woman,Summer Walker,62,57,6
76,2024-12-14,77,Liar,Jelly Roll,69,62,10
77,2024-12-14,78,AGATS2 (Insecure),Juice WRLD & Nicki Minaj,-,68,2
78,2024-12-14,79,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",63,7,6
79,2024-12-14,80,The Party Never Ends,Juice WRLD,-,80,1
80,2024-12-14,81,Residuals,Chris Brown,72,59,14
81,2024-12-14,82,4x4xU,Lainey Wilson,78,78,4
82,2024-12-14,83,Gang Baby,NLE Choppa,98,83,2
83,2024-12-14,84,Christmas Magic,Laufey,-,84,1
84,2024-12-14,85,Dos Dias,Tito Double P & Peso Pluma,75,51,13
85,2024-12-14,86,Dancing Through Life,"Jonathan Bailey Featuring Ariana Grande, Ethan Slater, Marissa Bode & Cynthia Erivo",90,86,2
86,2024-12-14,87,No One Mourns The Wicked,"Ariana Grande Featuring Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke & Jenna Boyd",86,86,2
87,2024-12-14,88,No Pole,Don Toliver,97,77,6
88,2024-12-14,89,Disease,Lady Gaga,76,27,6
89,2024-12-14,90,Messy,Lola Young,-,90,1
90,2024-12-14,91,KTM Drip,Juice WRLD,-,91,1
91,2024-12-14,92,The Wizard And I,Cynthia Erivo Featuring Michelle Yeoh,93,92,2
92,2024-12-14,93,Think I'm In Love With You,Chris Stapleton,74,49,31
93,2024-12-14,94,25,Rod Wave,77,16,8
94,2024-12-14,95,Cuffed,Juice WRLD,-,95,1
95,2024-12-14,96,Juno,Sabrina Carpenter,73,22,15
96,2024-12-14,97,High Road,Zach Bryan,71,29,4
97,2024-12-14,98,I'm Not That Girl,Cynthia Erivo,94,94,2
98,2024-12-14,99,Winter Ahead,V With Park Hyo Shin,-,99,1
99,2024-12-14,100,Close To You,Gracie Abrams,82,49,17
0,2024-12-21,1,All I Want For Christmas Is You,Mariah Carey,1,1,69
1,2024-12-21,2,Rockin' Around The Christmas Tree,Brenda Lee,2,1,62
2,2024-12-21,3,Jingle Bell Rock,Bobby Helms,5,3,59
3,2024-12-21,4,Last Christmas,Wham!,3,3,43
4,2024-12-21,5,A Holly Jolly Christmas,Burl Ives,10,4,43
5,2024-12-21,6,Die With A Smile,Lady Gaga & Bruno Mars,9,2,17
6,2024-12-21,7,Luther,Kendrick Lamar & SZA,6,3,3
7,2024-12-21,8,TV Off,Kendrick Lamar Featuring Lefty Gunplay,4,2,3
8,2024-12-21,9,A Bar Song (Tipsy),Shaboozey,8,1,35
9,2024-12-21,10,Squabble Up,Kendrick Lamar,7,1,3
10,2024-12-21,11,It's The Most Wonderful Time Of The Year,Andy Williams,11,5,43
11,2024-12-21,12,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,13,7,34
12,2024-12-21,13,Birds Of A Feather,Billie Eilish,12,2,30
13,2024-12-21,14,Santa Tell Me,Ariana Grande,19,11,27
14,2024-12-21,15,Underneath The Tree,Kelly Clarkson,20,11,30
15,2024-12-21,16,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",22,9,47
16,2024-12-21,17,Espresso,Sabrina Carpenter,14,3,35
17,2024-12-21,18,Sleigh Ride,The Ronettes,23,8,31
18,2024-12-21,19,That's So True,Gracie Abrams,16,6,8
19,2024-12-21,20,APT.,ROSE & Bruno Mars,17,8,8
20,2024-12-21,21,It's Beginning To Look A Lot Like Christmas,Michael Buble,24,19,22
21,2024-12-21,22,Feliz Navidad,Jose Feliciano,25,6,35
22,2024-12-21,23,Lose Control,Teddy Swims,15,1,70
23,2024-12-21,24,I Had Some Help,Post Malone Featuring Morgan Wallen,18,1,31
24,2024-12-21,25,Taste,Sabrina Carpenter,21,2,16
25,2024-12-21,26,Beautiful Things,Benson Boone,26,2,47
26,2024-12-21,27,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,31,12,25
27,2024-12-21,28,Run Rudolph Run,Chuck Berry,36,10,24
28,2024-12-21,29,Timeless,The Weeknd & Playboi Carti,27,3,11
29,2024-12-21,30,Too Sweet,Hozier,28,1,38
30,2024-12-21,31,Christmas (Baby Please Come Home),Darlene Love,38,15,24
31,2024-12-21,32,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,40,12,37
32,2024-12-21,33,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,37,16,16
33,2024-12-21,34,Love Somebody,Morgan Wallen,30,1,8
34,2024-12-21,35,"Good Luck, Babe!",Chappell Roan,34,4,36
35,2024-12-21,36,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",33,10,7
36,2024-12-21,37,Not Like Us,Kendrick Lamar,35,1,32
37,2024-12-21,38,Deck The Halls,Nat King Cole,43,16,15
38,2024-12-21,39,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,44,21,22
39,2024-12-21,40,Stargazing,Myles Smith,42,20,31
40,2024-12-21,41,Whatchu Kno About Me,GloRilla & Sexyy Red,39,17,9
41,2024-12-21,42,Blue Christmas,Elvis Presley,-,18,14
42,2024-12-21,43,Who,Jimin,47,12,21
43,2024-12-21,44,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,-,20,10
44,2024-12-21,45,Little Saint Nick,The Beach Boys,-,25,9
45,2024-12-21,46,Wonderful Christmastime,Paul McCartney,-,26,14
46,2024-12-21,47,Happy Holiday / The Holiday Season,Andy Williams,-,18,20
47,2024-12-21,48,Christmastime Is Here,Vince Guaraldi Trio,-,39,5
48,2024-12-21,49,Please Please Please,Sabrina Carpenter,50,1,27
49,2024-12-21,50,I Am Not Okay,Jelly Roll,49,14,26
50,2024-12-21,51,Sailor Song,Gigi Perez,51,22,17
51,2024-12-21,52,Hey Now,Kendrick Lamar Featuring Dody6,32,5,3
52,2024-12-21,53,High Road,Koe Wetzel & Jessie Murph,55,22,27
53,2024-12-21,54,Wacced Out Murals,Kendrick Lamar,29,4,3
54,2024-12-21,55,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,45,44,3
55,2024-12-21,56,Bed Chem,Sabrina Carpenter,57,14,16
56,2024-12-21,57,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",41,11,3
57,2024-12-21,58,Like Him,"Tyler, The Creator Featuring Lola Young",60,29,7
58,2024-12-21,59,Empty Out Your Pockets,Juice WRLD,56,56,2
59,2024-12-21,60,Peekaboo,Kendrick Lamar Featuring AzChike,48,13,3
60,2024-12-21,61,Wind Up Missin' You,Tucker Wetmore,64,40,37
61,2024-12-21,62,Tu Boda,Oscar Maydon & Fuerza Regida,63,22,8
62,2024-12-21,63,No One Noticed,The Marias,61,22,11
63,2024-12-21,64,Messy,Lola Young,90,64,2
64,2024-12-21,65,"I Love You, I'm Sorry",Gracie Abrams,66,19,19
65,2024-12-21,66,El Club,Bad Bunny,-,66,1
66,2024-12-21,67,Que Pasaria...,Rauw Alejandro & Bad Bunny,73,34,4
67,2024-12-21,68,Reincarnated,Kendrick Lamar,46,8,3
68,2024-12-21,69,Popular,Ariana Grande,53,53,3
69,2024-12-21,70,Pink Pony Club,Chappell Roan,68,26,26
70,2024-12-21,71,It's Ok I'm Ok,Tate McRae,70,20,13
71,2024-12-21,72,Heart Pt. 6,Kendrick Lamar,54,14,3
72,2024-12-21,73,I Never Lie,Zach Top,71,58,12
73,2024-12-21,74,Man At The Garden,Kendrick Lamar,52,9,3
74,2024-12-21,75,What Is This Feeling?,Ariana Grande & Cynthia Erivo,62,62,3
75,2024-12-21,76,Gloria,Kendrick Lamar & SZA,59,27,3
76,2024-12-21,77,Dancing In The Flames,The Weeknd,72,14,13
77,2024-12-21,78,Liar,Jelly Roll,77,62,11
78,2024-12-21,79,Christmas Magic,Laufey,84,79,2
79,2024-12-21,80,I'm Gonna Love You,Cody Johnson & Carrie Underwood,75,42,11
80,2024-12-21,81,Help Me,Real Boston Richey,74,47,21
81,2024-12-21,82,Gang Baby,NLE Choppa,83,82,3
82,2024-12-21,83,Heart Of A Woman,Summer Walker,76,57,7
83,2024-12-21,84,Residuals,Chris Brown,81,59,15
84,2024-12-21,85,Good News,Shaboozey,-,71,3
85,2024-12-21,86,Dos Dias,Tito Double P & Peso Pluma,85,51,14
86,2024-12-21,87,Rosones,Tito Double P,-,87,1
87,2024-12-21,88,4x4xU,Lainey Wilson,82,78,5
88,2024-12-21,89,Khe?,Rauw Alejandro & Romeo Santos,-,60,3
89,2024-12-21,90,Toxic Till The End,ROSE,-,90,1
90,2024-12-21,91,Burning Down,Alex Warren,-,69,4
91,2024-12-21,92,No Pole,Don Toliver,88,77,7
92,2024-12-21,93,White Christmas,V & Bing Crosby,-,93,1
93,2024-12-21,94,Think I'm In Love With You,Chris Stapleton,93,49,32
94,2024-12-21,95,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",79,7,7
95,2024-12-21,96,GNX,"Kendrick Lamar Featuring Hitta J3, YoungThreat & Peysoh",67,24,3
96,2024-12-21,97,25,Rod Wave,94,16,9
97,2024-12-21,98,Indigo,Sam Barber Featuring Avery Anna,-,98,1
98,2024-12-21,99,Jingle Bells,Meghan Trainor,-,78,3
99,2024-12-21,100,Close To You,Gracie Abrams,100,49,18
0,2024-12-28,1,All I Want For Christmas Is You,Mariah Carey,1,1,70
1,2024-12-28,2,Rockin' Around The Christmas Tree,Brenda Lee,2,1,63
2,2024-12-28,3,Last Christmas,Wham!,4,3,44
3,2024-12-28,4,Jingle Bell Rock,Bobby Helms,3,3,60
4,2024-12-28,5,A Holly Jolly Christmas,Burl Ives,5,4,44
5,2024-12-28,6,Die With A Smile,Lady Gaga & Bruno Mars,6,2,18
6,2024-12-28,7,It's The Most Wonderful Time Of The Year,Andy Williams,11,5,44
7,2024-12-28,8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,12,7,35
8,2024-12-28,9,Santa Tell Me,Ariana Grande,14,9,28
9,2024-12-28,10,Underneath The Tree,Kelly Clarkson,15,10,31
10,2024-12-28,11,Luther,Kendrick Lamar & SZA,7,3,4
11,2024-12-28,12,TV Off,Kendrick Lamar Featuring Lefty Gunplay,8,2,4
12,2024-12-28,13,A Bar Song (Tipsy),Shaboozey,9,1,36
13,2024-12-28,14,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",16,9,48
14,2024-12-28,15,It's Beginning To Look A Lot Like Christmas,Michael Buble,21,15,23
15,2024-12-28,16,Feliz Navidad,Jose Feliciano,22,6,36
