artist,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Fuerza Regida,fuerzaregida,fuerzaregida,@FUERZAREGIDA,True,True,True,True
Parker McCollum,parkermccollum,parkermccollum,@ParkerMcCollum,True,True,True,True
Tory Lanez,torylanez,torylanez,@torylanez,True,True,True,True
Hotel Ugly,hotelugly,hotel_ugly,@HotelUgly,True,True,True,True
NewJeans,newjeans_official,newjeans_official,@NewJeans_official,True,True,True,True
Brett Young,brettyoungmusic,brettyoungmusic,@BrettYoungMusic,True,True,True,True
Miley Cyrus,mileycyrus,mileycyrus,@MileyCyrus,True,True,True,True
Sabrina Carpenter,sabrinacarpenter,sabrinacarpenter,@sabrinacarpenter,True,True,True,True
TAEYANG,__youngbae__,taeyang,@TAEYANG_OFFICIAL,True,True,True,True
Cody Johnson,codyjohnson,cojonation,@CodyJohnson,True,True,True,True
Mac DeMarco,macsrecordlabel,,@macdemarco,True,False,True,True
Kali Uchis,kaliuchis,kaliuchis,@KALIUCHIS,True,True,True,True
Ice Spice,icespice,icespicee,@IceSpice,True,True,True,True
TWICE,twicetagram,twice_tiktok_official,@TWICE,True,True,True,True
Gabito Ballesteros,gabitoballesteros,gabitoballesteros,@gabitoballesteros_,True,True,True,True
Finesse2Tymes,1finesse2tymes,1finesse2tymes1,@finesse2tymes1,True,True,True,True
ThxSoMch,thxsomch,thxsomch,@thxsomchh,True,True,True,True
Junior H,juniorh,,@JuniorH_Oficial,True,False,True,True
Ozuna,ozuna,ozuna,@Ozuna,True,True,True,True
P!nk,pink,pinkofficial,@PinkVideoVault,True,True,True,True
PinkPantheress,pinkpantheress,pinkpantheress,@Pinkpantheress,True,True,True,True
Peso Pluma,pesopluma,therealpesopluma,@pesopluma_oficial,True,True,True,True
Falling In Reverse,fallinginreverse,fallinginreverse,,True,True,False,True
Yandel,yandel,yandel,@yandel,True,True,True,True
Linkin Park,linkinpark,linkinpark,@LinkinPark,True,True,True,True
Superstar Pride,superstarpride,superstarpride,@SuperstarPrideTV,True,True,True,True
NF,nfrealmusic,nfrealmusic,@NFrealmusic,True,True,True,True
Toosii,toosii,toosii,@Toosii2x,True,True,True,True
Niall Horan,niallhoran,niallhoran,@NiallHoran,True,True,True,True
Lizzy McAlpine,lizzymcalpine,lizzymcalpine,@LizzyMcAlpine,True,True,True,True
Latto,latto,latto777,@Latto777,True,True,True,True
Lil Wayne,liltunechi,lilwayne,@lilwayne,True,True,True,True
Don Toliver,dontoliver,dontolivermusic,@dontolivermusic,True,True,True,True
Eslabon Armado,eslabonarmadooficial,eslabonarmadooficial,@EslabonArmado,True,True,True,True
Jimin,j.m,,,True,False,False,True
Hozier,hozier,hozierofficial,@hozier,True,True,True,True
Yng Lvcas,yng_lvcas,ynglvcas,@Yng_lvcas,True,True,True,True
Chino Pacas,chinito_pacas,chinito_pacass,@ChinoPacas_,True,True,True,True
Eladio Carrion,eladiocarrion,eladiocarrioneldelah,@EladioCarrion,True,True,True,True
Coco Jones,cocojones,cocojones,@cocojones,True,True,True,True
Melanie Martinez,littlebodybigheart,littlebodybigheart,@MelanieMartinez,True,True,True,True
Fifty Fifty,we_fiftyfifty,we_fiftyfifty,@WE_FIFTYFIFTY,True,True,True,True
Lola Brooke,lola.brooke,lolabrooke5,@LolaBrooke718,True,True,True,True
"Tyler, The Creator",feliciathegoat,,@TylerTheCreator,True,False,True,True
Old Dominion,olddominionmusic,olddominionband,@OldDominionMusic,True,True,True,True
Kanii,kanii_o,kanii_o,@Kaniio,True,True,True,True
Jack Black,jackblack,jackblack,,True,True,False,True
David Kushner,david.kushner,davidkushner,@david.kushner,True,True,True,True
Grupo Marca Registrada,grupomarcaregistrada1,grupomarcaregistrada,@GrupoMarcaRegistrada,True,True,True,True
Kim Petras,kimpetras,kimpetras,@kimpetras,True,True,True,True
Agust D,agustd,,,True,False,False,True
Jonas Brothers,jonasbrothers,jonasbrothers,@JonasBrothers,True,True,True,True
Libianca,iamlibianca,iamlibianca,@IAMLIBIANCA,True,True,True,True
Kali,kaliii,kaliyaashley,@kaliii,True,True,True,True
Anuel AA,anuel,anuel,@AnuelAA,True,True,True,True
Lil Mabu,lilmabu,lilmabu,@LilMabu,True,True,True,True
Doechii,doechii,iamdoechii_,@IamdoechiiTV,True,True,True,True
Hailey Whitters,haileywhitters,haileywhitters,@HaileyWhittersMusic,True,True,True,True
Lana Del Rey,honeymoon,lanadelrey,@LanaDelRey,True,True,True,True
Summer Walker,summerwalker,summerwalker,@summerwalker,True,True,True,True
Dan + Shay,danandshay,danandshay,@DanAndShay,True,True,True,True
Dua Lipa,dualipa,dualipaofficial,@dualipa,True,True,True,True
Sexyy Red,sexyyred,sexyyred314,@SexyyRed,True,True,True,True
Young Nudy,youngnudy,pde_youngnudy,@YoungNudy,True,True,True,True
Noah Kahan,noahkahanmusic,noahkahanmusic,@NoahKahan,True,True,True,True
El Alfa,elalfaeljefe,elalfaeljeferd,@ElAlfaElJefeTV,True,True,True,True
Baby Keem,keem,,@babykeem,True,False,True,True
Feid,feid,ferxxo444,@Feid,True,True,True,True
Young Thug,thuggerthugger1,thuggerthugger1,@youngthug,True,True,True,True
Olivia Rodrigo,oliviarodrigo,livbedumb,@OliviaRodrigo,True,True,True,True
Tainy,tainy,tainy,@tainy,True,True,True,True
Fall Out Boy,falloutboy,falloutboy,@falloutboy,True,True,True,True
FendiDa Rappa,fendidarappa_,fendi.darappa,@Fendi.DaRappa,True,True,True,True
Myke Towers,myketowers,myketowersmtyk,@MykeTowers,True,True,True,True
Troye Sivan,troyesivan,troyesivan,@troyesivan,True,True,True,True
Ryan Castro,ryancastrro,elcantantedelghetto,@elcantantedelghetto,True,True,True,True
Rylo Rodriguez,rylorodriguez,rylorodriguez,@rylorodriguez676,True,True,True,True
That Mexican OT,thatmexicanot,thatmexicanot,@thatmexicanot,True,True,True,True
Travis Scott,travisscott,travisscott,@TravisScottXX,True,True,True,True
Chris Stapleton,chrisstapleton,chrisstapleton,@chrisstapleton,True,True,True,True
Diplo,diplo,diplo,@Diplo,True,True,True,True
Charli xcx,charli_xcx,charlixcx,@officialcharlixcx,True,True,True,True
Ryan Gosling,,,,False,False,False,False
Tyler Childers,timmytychilders,timmytychildersmusic,@tylerchilders,True,True,True,True
Ivan Cornejo,ivancornejoo,ivancornejooo,@ivancornejoofficial,True,True,True,True
Usher,usher,usher,@Usher,True,True,True,True
Oliver Anthony Music,oliver_anthony_music_,oliveranthonymusic,@oliveranthonymusic,True,True,True,True
Warren Zeiders,warrenzeiders,warrenzeiders,@WarrenZeiders,True,True,True,True
Dominic Fike,dominicfike,,@dominicfike,True,False,True,True
Teddy Swims,teddyswims,teddyswims,@TeddySwims,True,True,True,True
Victoria Monet,victoriamonet,victoriamonet,@victoriamonet,True,True,True,True
Calle 24,calle24.oficial,calle24.oficial,@Calle24,True,True,True,True
Timbaland,timbaland,timbaland,@Timbaland,True,True,True,True
Kenya Grace,kenyagrace,kenyagracebaby,@kenyagracebaby,True,True,True,True
Paul Russell,paulrussell,paulrussellmusic,@paulrussellmusic,True,True,True,True
Lil Tecca,liltecca,lil.tecca,@LilTecca,True,True,True,True
Mitski,mitskileaks,mitskileaks,@mitskileaks,True,True,True,True
Maluma,maluma,maluma,@Maluma_Official,True,True,True,True
*NSYNC,nsync,nsync,@OfficialNSYNC,True,True,True,True
Tyla,tyla,hernametyla,@Tylaofficial,True,True,True,True
Rick Ross,richforever,,@rickrossmmgempire,True,False,True,True
Dustin Lynch,dustinlynch,dustinlynch,@DustinLynch,True,True,True,True
The Citizens of Halloween,,,,False,False,False,False
The Beatles,thebeatles,thebeatles,@TheBeatles,True,True,True,True
Stray Kids,realstraykids,jypestraykids,@StrayKids,True,True,True,True
Riley Green,rileyduckman,rileyduckman,@RileyGreenMusic,True,True,True,True
310babii,310babii,310.babii,@310babii,True,True,True,True
Andre 3000,andre3000,andre3000,@Andre-vc3pz,True,True,True,True
BigXthaPlug,bigxthaplug,bigxthaplug_,@bigxthaplug,True,True,True,True
Xavi,xavioficial,xaviiiofficial,@Xavi_Official,True,True,True,True
Flo Milli,flomillishit,flomillishit,@FloMilli,True,True,True,True
George Birge,georgebirge,georgebirgeofficial,@georgebirge,True,True,True,True
The Red Clay Strays,redclaystrays,theredclaystrays,@RedClayStrays,True,True,True,True
Cher,cher,cher,@cher,True,True,True,True
Jackson 5,thejacksons,,@thejacksonslegacy,True,False,True,True
Perry Como,,,@PerryComo,False,False,True,True
Chayce Beckham,chaycebeckhammusic,chaycebeckhammusic,@ChayceBeckhamMusic,True,True,True,True
Sophie Ellis-Bextor,sophieellisbextor,sophieebtiktok,@sophieebofficial,True,True,True,True
4Batz,4batz,4batz,@4Batz,True,True,True,True
Dylan Gossett,dylangossett,dylangossett,@DylanGossettMusic,True,True,True,True
Fridayy,fridayy,fridayy,@fridayyofficial,True,True,True,True
Tee Grizzley,teegrizzley,tee_grizzley,@TeeGrizzley,True,True,True,True
Ariana Grande,arianagrande,arianagrande,@ArianaGrande,True,True,True,True
Oscar Ortiz,oscarortizoficial,oscarortiz1.0,@oscarortizYT,True,True,True,True
Tom MacDonald,hangovergang,hangovergang,@TomMacDonaldOfficial,True,True,True,True
Justin Timberlake,justintimberlake,justintimberlake,@JustinTimberlake,True,True,True,True
YG Marley,ygmarley,ygmarley8,@YGMarley,True,True,True,True
