,song_id,main_artist,main_artist_ig,main_artist_yt,main_artist_tt
149,Blick Blick! — Coi Leray & Nicki Minaj,Coi Leray,coileray,@coileray,coileray
150,Nobody Like U — 4*TOWN (From Disney And Pixar's Turning Red),4*TOWN (From Disney And Pixar's Turning Red),,,
151,Sometimes — Juice WRLD,Juice WRLD,juicewrld999,@JuiceWRLD,juicewrld999
152,Computer Murderers — Lil Durk,Lil Durk,lildurk,@LilDurk,lildurk
153,Ghost Story — Carrie Underwood,Carrie Underwood,carrieunderwood,@carrieunderwood,carrieunderwood
154,Tom's Diner — AnnenMayKantereit & Giant Rooks,AnnenMayKantereit,annenmaykantereit,@AnnenMayKantereit,annenmaykantereit
155,Maybe — Machine Gun Kelly & Bring Me The Horizon,Machine Gun Kelly,machinegunkelly,@mgk,mgk
156,Over — Lucky Daye,Lucky Daye,iamluckydaye,@luckydaye9925,luckydaye
157,Money So Big — Yeat,Yeat,yeat,@yeatmusic3280,
158,She Likes It — Russell Dickerson & Jake Scott,Russell Dickerson,russelldickerson,@RussellDTV,russelldickersonofficial
159,IDGAF — BoyWithUke X blackbear,BoyWithUke,boywithuke,@boywithukeofficial,boywithuke
160,Soy El Unico — Yahritza y Su Esencia,Yahritza Y Su Esencia,yahritzaysuesencia,@YahritzaYSuEsencia,yahritzaysuesencia
161,We Go Up — Nicki Minaj & Fivio Foreign,Nicki Minaj,nickiminaj,@nickiminaj,nickiminaj
162,Make Up Sex — Machine Gun Kelly X blackbear,Machine Gun Kelly,machinegunkelly,@mgk,mgk
163,X Ultima Vez — Daddy Yankee & Bad Bunny,Daddy Yankee,daddyyankee,@DaddyYankee,daddyyankee
164,Envolver — Anitta,Anitta,anitta,@anitta,anitta
165,Chaotic — Tate McRae,Tate McRae,tatemcrae,@TateMcRae,tatemcrae
166,Sigue — J Balvin & Ed Sheeran,J Balvin,jbalvin,@jbalvin,jbalvin
167,As It Was — Harry Styles,Harry Styles,harrystyles,@HarryStyles,hshq
168,In My Head — Lil Tjay,Lil Tjay,liltjay,@liltjay,liltjay
169,When You're Gone — Shawn Mendes,Shawn Mendes,shawnmendes,@shawnmendes,shawnmendes
170,Stick — JID & J. Cole Featuring Kenny Mason & Sheck Wes,JID,jidsv,@jid6871,jidsv
171,Damn Strait — Scotty McCreery,Scotty McCreery,scottymccreery,@smccreeryofficial,scottymccreery
172,Take My Name — Parmalee,Parmalee,parmaleemusic,@ParmaleeMusic,officialparmalee
173,Complete Mess — 5 Seconds Of Summer,5 Seconds Of Summer,5sos,@5SOS,5sos
174,4KT Baby — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
175,Blood All On It — Gucci Mane Featuring Key Glock & Young Dolph,Gucci Mane,laflare1017,@guccimane,icedaddy1017
176,Desesperados — Rauw Alejandro & Chencho Corleone,Rauw Alejandro,rauwalejandro,@RauwAlejandroTv,rauwalejandro
177,First Class — Jack Harlow,Jack Harlow,jackharlow,@JackHarlow,missionaryjack
178,Right On — Lil Baby,Lil Baby,lilbaby,@LilBabyATL,lilbaby
179,In A Minute — Lil Baby,Lil Baby,lilbaby,@LilBabyATL,lilbaby
180,London — BIA Featuring J. Cole,BIA,bia,@BIABIAofficial,bia
181,Psychofreak — Camila Cabello Featuring WILLOW,Camila Cabello,camila_cabello,@camilacabello,camilacabello
182,Thump Shit — 42 Dugg & EST Gee,42 Dugg,42_dugggg,@42duggmusic50,
183,Treat Me — Chloe,Chloe,chloebailey,@chloebaileywashere,chloebaileywashere
184,Neck & Wrist — Pusha T Featuring JAY-Z & Pharrell Williams,Pusha T,kingpush,@PUSHATgood,pusha_t
185,Praise The Lord — BRELAND Featuring Thomas Rhett,BRELAND,breland,@Breland,breland
186,Don't Think Jesus — Morgan Wallen,Morgan Wallen,morganwallen,@morganwallen,morganwallen
187,About Damn Time — Lizzo,Lizzo,lizzobeeating,@Lizzo,lizzo
188,"Shake It — Kay Flock, Cardi B, Dougie B & Bory300",Kay Flock,officialkayflocka,@kayflock7152,
